ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CIN80047;Cinema '80;La pellicola "Fuga di mezzanotte" è degli anni '70, non degli '80.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80048;Cinema '80;Quale film del 1985 è diretto da Robert Zemeckis e ha come protagonista un ragazzo che viaggia nel tempo con una DeLorean?;4 risposte;A) Ritorno al futuro, ###B) Ritorno al futuro, C) Back to the Future Part II, D) The Terminator;⭐⭐;16/01/2026
CIN80049;Cinema '80;Scrivi il nome del compositore della colonna sonora di "Blade Runner".;Risposta aperta;###Vangelis;⭐⭐⭐;16/01/2026
CIN80050;Cinema '80;Quale film del 1982 è diretto da Steven Spielberg e racconta l'incontro tra umani e alieni?;4 risposte;A) Incontri ravvicinati del terzo tipo, B) E.T. l'extra-terrestre, ###C) E.T. l'extra-terrestre, D) Close Encounters of the Third Kind;⭐⭐;16/01/2026
CIN80051;Cinema '80;La pellicola "I Goonies" è uscita nel 1985.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN80052;Cinema '80;Quale film del 1987 è diretto da John Hughes e racconta le vicende di adolescenti in una scuola?;4 risposte;A) The Breakfast Club, ###B) The Breakfast Club, C) Ferris Bueller's Day Off, D) Pretty in Pink;⭐⭐;16/01/2026
CIN80053;Cinema '80;Scrivi il nome dell'attore che interpreta Tony Montana in "Scarface".;Risposta aperta;###Al Pacino;⭐⭐;16/01/2026
CIN80054;Cinema '80;Quale film del 1984 è diretto da John Hughes e racconta la storia di un gruppo di adolescenti in una giornata?;4 risposte;A) The Breakfast Club, B) Ferris Bueller's Day Off, ###C) Sixteen Candles, D) The Breakfast Club;⭐⭐;16/01/2026
CIN80055;Cinema '80;La pellicola "La storia infinita" è tratta da un romanzo di Michael Ende.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN80056;Cinema '80;Quale film del 1986 è diretto da David Lynch e presenta atmosfere surreali?;4 risposte;A) Blue Velvet, B) Dune, ###C) Blue Velvet, D) The Elephant Man;⭐⭐⭐;16/01/2026
CIN80057;Cinema '80;Scrivi il nome del regista di "Platoon".;Risposta aperta;###Oliver Stone;⭐⭐;16/01/2026
CIN80058;Cinema '80;Quale film del 1983 è diretto da Brian De Palma e racconta la storia di un immigrato cubano a Miami?;4 risposte;A) Scarface, ###B) Scarface, C) The Untouchables, D) Carlito's Way;⭐⭐;16/01/2026
CIN80059;Cinema '80;La pellicola "Mad Max 2 - Il guerriero della strada" è uscita nel 1981.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80060;Cinema '80;Quale film del 1988 combina animazione e live-action con un coniglio investigatore?;4 risposte;A) Chi ha incastrato Roger Rabbit?, ###B) Chi ha incastrato Roger Rabbit?, C) Who Framed Roger Rabbit, D) Space Jam;⭐⭐;16/01/2026
CIN80061;Cinema '80;Scrivi il nome dell'autore del romanzo da cui è tratto "Blade Runner" (Do Androids Dream of Electric Sheep?).;Risposta aperta;###Philip K. Dick;⭐⭐⭐;16/01/2026
CIN80062;Cinema '80;Quale film del 1984 è diretto da John Carpenter e presenta un'ambientazione urbana distopica?;4 risposte;A) Escape from New York, ###B) Escape from New York, C) The Thing, D) They Live;⭐⭐;16/01/2026
CIN80063;Cinema '80;La pellicola "La mosca" (1986) è un remake diretto da David Cronenberg.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80064;Cinema '80;Quale film del 1985 è diretto da Steven Spielberg e racconta la storia di un gruppo di ragazzi che trovano una mappa del tesoro?;4 risposte;A) The Goonies, ###B) I Goonies, C) Stand by Me, D) The Lost Boys;⭐⭐;16/01/2026
CIN80065;Cinema '80;Scrivi il nome del protagonista di "Ritorno al futuro".;Risposta aperta;###Marty McFly;⭐⭐;16/01/2026
CIN80066;Cinema '80;Quale film del 1982 è diretto da Steven Spielberg e racconta la storia di un ragazzo e un alieno amichevole?;4 risposte;A) E.T. l'extra-terrestre, ###B) E.T. l'extra-terrestre, C) Close Encounters, D) The Goonies;⭐⭐;16/01/2026
CIN80067;Cinema '80;La pellicola "Il nome della rosa" è uscita nel 1986 ed è diretta da Jean-Jacques Annaud.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80068;Cinema '80;Quale film del 1980 è diretto da Francis Ford Coppola e ambientato durante la guerra del Vietnam?;4 risposte;A) Apocalypse Now, ###B) Apocalypse Now, C) The Deer Hunter, D) Platoon;⭐⭐⭐;16/01/2026
CIN80069;Cinema '80;Scrivi il nome dell'attore che interpreta Indiana Jones.;Risposta aperta;###Harrison Ford;⭐⭐;16/01/2026
CIN80070;Cinema '80;Quale film del 1987 è diretto da John Hughes e racconta la storia di un gruppo di adolescenti che si incontrano in biblioteca?;4 risposte;A) Ferris Bueller's Day Off, ###B) The Breakfast Club, C) Pretty in Pink, D) Sixteen Candles;⭐⭐;16/01/2026
CIN80071;Cinema '80;La pellicola "Il cacciatore" è degli anni '70, non degli '80.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80072;Cinema '80;Quale film del 1989 è diretto da Tim Burton e ha come protagonista un uomo con forbici al posto delle mani?;4 risposte;A) Edward mani di forbice, ###B) Edward mani di forbice, C) Batman, D) Beetlejuice;⭐⭐;16/01/2026
CIN80073;Cinema '80;Scrivi il nome del regista di "Scarface".;Risposta aperta;###Brian De Palma;⭐⭐;16/01/2026
CIN80074;Cinema '80;Quale film del 1984 è diretto da Richard Donner e presenta un gruppo di giovani avventurieri?;4 risposte;A) The Goonies, B) Gremlins, ###C) I Goonies, D) Back to the Future;⭐⭐;16/01/2026
CIN80075;Cinema '80;La pellicola "Stand by Me - Ricordo di un'estate" è basata su un racconto di Stephen King.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80076;Cinema '80;Quale film del 1982 è diretto da Ridley Scott e ha come protagonista Harrison Ford?;4 risposte;A) Blade Runner, B) Alien, ###C) Blade Runner, D) The Right Stuff;⭐⭐;16/01/2026
CIN80077;Cinema '80;Scrivi il nome dell'autore del romanzo da cui è tratto "Il nome della rosa".;Risposta aperta;###Umberto Eco;⭐⭐;16/01/2026
CIN80078;Cinema '80;Quale film del 1986 è diretto da Oliver Stone e racconta la guerra in Vietnam dal punto di vista dei soldati?;4 risposte;A) Full Metal Jacket, ###B) Platoon, C) Born on the Fourth of July, D) The Deer Hunter;⭐⭐;16/01/2026
CIN80079;Cinema '80;La pellicola "Chi ha incastrato Roger Rabbit?" combina animazione e live-action.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN80080;Cinema '80;Quale film del 1985 è diretto da Terry Gilliam e presenta un mondo distopico burocratico?;4 risposte;A) Brazil, ###B) Brazil, C) Time Bandits, D) The Fisher King;⭐⭐⭐;16/01/2026
CIN80081;Cinema '80;Scrivi il nome del protagonista di "Scarface".;Risposta aperta;###Tony Montana;⭐⭐;16/01/2026
CIN80082;Cinema '80;Quale film del 1981 è diretto da Steven Spielberg e racconta la vita di un gruppo di adolescenti negli anni '60?;4 risposte;A) The Goonies, B) Stand by Me, ###C) American Graffiti (1973 non 1981), D) E.T.;⭐⭐;16/01/2026
CIN80083;Cinema '80;La pellicola "Il ritorno dello Jedi" è del 1983.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80084;Cinema '80;Quale film del 1984 è diretto da John Carpenter e ha Kurt Russell come protagonista?;4 risposte;A) Big Trouble in Little China, ###B) Big Trouble in Little China, C) The Thing, D) Escape from New York;⭐⭐;16/01/2026
CIN80085;Cinema '80;Scrivi il nome del compositore della colonna sonora di "E.T. l'extra-terrestre".;Risposta aperta;###John Williams;⭐⭐;16/01/2026
CIN80086;Cinema '80;Quale film del 1987 è diretto da Jonathan Demme e racconta la storia di un serial killer?;4 risposte;A) The Silence of the Lambs (1991), ###B) Nessuno (The Silence of the Lambs è 1991), C) Manhunter, D) The Accused;⭐⭐;16/01/2026
CIN80087;Cinema '80;La pellicola "Il nome della rosa" è ambientata in un monastero medievale.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80088;Cinema '80;Quale film del 1980 è diretto da David Lynch e racconta la storia di un uomo deforme in un circo?;4 risposte;A) The Elephant Man, ###B) The Elephant Man, C) Blue Velvet, D) Eraserhead;⭐⭐;16/01/2026
CIN80089;Cinema '80;Scrivi il nome del regista di "Rambo: First Blood" (1982).;Risposta aperta;###Ted Kotcheff;⭐⭐;16/01/2026
CIN80090;Cinema '80;Quale film del 1985 è diretto da John Hughes e racconta la storia di un ragazzo che finge malattia per saltare la scuola?;4 risposte;A) The Breakfast Club, ###B) Ferris Bueller's Day Off, C) Pretty in Pink, D) Sixteen Candles;⭐⭐;16/01/2026
CIN80091;Cinema '80;La pellicola "Il cacciatore" è ambientata durante la guerra del Vietnam: vero o falso?;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80092;Cinema '80;Quale film del 1989 è diretto da Tim Burton e racconta la storia di un uomo con forbici al posto delle mani?;4 risposte;A) Beetlejuice, B) Batman, ###C) Edward mani di forbice, D) Mars Attacks!;⭐⭐;16/01/2026
CIN80093;Cinema '80;Scrivi il nome dell'attore che interpreta il protagonista in "Scarface".;Risposta aperta;###Al Pacino;⭐⭐;16/01/2026
CIN80094;Cinema '80;Quale film del 1982 è diretto da Steven Spielberg e racconta la storia di un ragazzo e un alieno?;4 risposte;A) E.T. l'extra-terrestre, ###B) E.T. l'extra-terrestre, C) Close Encounters, D) The Goonies;⭐⭐;16/01/2026
CIN80095;Cinema '80;La pellicola "Apocalypse Now" è stata diretta da Francis Ford Coppola.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80096;Cinema '80;Quale film del 1984 è diretto da James Cameron e ha come antagonista un cyborg inviato dal futuro?;4 risposte;A) Robocop, B) Aliens, ###C) The Terminator, D) The Fly;⭐⭐;16/01/2026
CIN80097;Cinema '80;Scrivi il nome del regista di "The Thing" (1982).;Risposta aperta;###John Carpenter;⭐⭐;16/01/2026
CIN80098;Cinema '80;Quale film del 1986 è diretto da David Cronenberg e racconta la trasformazione di uno scienziato?;4 risposte;A) The Fly, ###B) La mosca, C) Videodrome, D) Scanners;⭐⭐;16/01/2026
CIN80099;Cinema '80;La pellicola "Cinema Paradiso" ha vinto l'Oscar per il miglior film straniero.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80100;Cinema '80;Quale film del 1984 è diretto da Richard Donner e prodotto da Steven Spielberg che racconta un'avventura per ragazzi?;4 risposte;A) Gremlins, B) Back to the Future, ###C) I Goonies, D) The NeverEnding Story;⭐⭐;16/01/2026
