ID;Tema;Domanda;Tipologia;Risposta A;Risposta B;Risposta C;Risposta D;Risposta E;Risposta F;Difficoltà;Data creazione
STARW-0016;Star Wars;In quale episodio della saga Anakin Skywalker diventa ufficialmente Darth Vader?;4 risposte;Episodio I;Episodio II;###Episodio III;Episodio V;;;⭐⭐;16/01/2026
STARW-0017;Star Wars;Qual è il nome della base ribelle sul pianeta ghiacciato Hoth?;4 risposte;Base Yavin;###Base Echo;Base Delta;Base Omega;;;⭐⭐⭐;16/01/2026
STARW-0018;Star Wars;Chi pronuncia la frase: "È una trappola!" (It's a trap!)?;4 risposte;Han Solo;Lando Calrissian;###Ammiraglio Ackbar;Nien Nunb;;;⭐⭐;16/01/2026
STARW-0019;Star Wars;Vero o Falso: Nella versione originale del 1977, Han Solo spara per primo a Greedo.;Vero/Falso;###Vero;Falso;;;;;⭐⭐⭐;16/01/2026
STARW-0020;Star Wars;Continua la risposta: Il droide rotolante arancione e bianco introdotto in "Il Risveglio della Forza" si chiama...;Continua la risposta;###BB-8;;;;;;⭐⭐;16/01/2026
STARW-0021;Star Wars;Quale ordine esegue l'esercito dei cloni per sterminare i Jedi?;4 risposte;Ordine 99;###Ordine 66;Ordine 501;Ordine 1;;;⭐⭐;16/01/2026
STARW-0022;Star Wars;Come si chiama la madre di Luke e Leia?;4 risposte;Shmi Skywalker;Mon Mothma;###Padmé Amidala;Beru Lars;;;⭐;16/01/2026
STARW-0023;Star Wars;In "Guerre Stellari", quanto chiede Han Solo per trasportare Luke e Obi-Wan su Alderaan (anticipo + saldo)?;6 risposte;10.000 crediti;###17.000 crediti;25.000 crediti;2.000 crediti;50.000 crediti;5.000 crediti;⭐⭐⭐⭐;16/01/2026
STARW-0024;Star Wars;Quale sistema stellare viene distrutto dalla prima Morte Nera?;4 risposte;###Alderaan;Naboo;Coruscant;Yavin IV;;;⭐⭐;16/01/2026
STARW-0025;Star Wars;Come si chiama il wookiee fedele compagno di Han Solo?;4 risposte;Tarfful;###Chewbacca;Grakchawwaa;Itchy;;;⭐;16/01/2026
STARW-0026;Star Wars;Chi è il proprietario originale del Millennium Falcon prima di Han Solo?;4 risposte;Jabba the Hutt;Greedo;###Lando Calrissian;Maz Kanata;;;⭐⭐;16/01/2026
STARW-0027;Star Wars;Quale pianeta è coperto interamente da una città (ecumenopoli)?;4 risposte;Bespin;Mustafar;Kamino;###Coruscant;;;⭐⭐⭐;16/01/2026
STARW-0028;Star Wars;Qual è il vero nome di "Baby Yoda" rivelato nella serie "The Mandalorian"?;4 risposte;###Grogu;Yaddle;Din Djarin;IG-11;;;⭐⭐;16/01/2026
STARW-0029;Star Wars;In quale battaglia muore Qui-Gon Jinn?;4 risposte;Battaglia di Geonosis;Battaglia di Endor;###Battaglia di Naboo;Battaglia di Coruscant;;;⭐⭐⭐;16/01/2026
STARW-0030;Star Wars;Completa la frase di Yoda: "Fare, o non fare. Non c'è...";Frase interrotta a 2 risposte;...speranza;###...provare;;;;;⭐⭐;16/01/2026
STARW-0031;Star Wars;Quale braccio (colore) ha C-3PO nel film "Il Risveglio della Forza"?;4 risposte;Argento;###Rosso;Dorato;Nero;;;⭐⭐⭐⭐;16/01/2026
STARW-0032;Star Wars;Chi uccide Jabba the Hutt?;4 risposte;###Principessa Leia;Luke Skywalker;Han Solo;Boba Fett;;;⭐⭐;16/01/2026
STARW-0033;Star Wars;Qual è il nome Sith del Conte Dooku?;4 risposte;Darth Sidious;Darth Plagueis;###Darth Tyranus;Darth Bane;;;⭐⭐⭐;16/01/2026
STARW-0034;Star Wars;Che tipo di creatura è Jabba the Hutt?;4 risposte;Toydariano;###Hutt;Gamorreano;Twi'lek;;;⭐;16/01/2026
STARW-0035;Star Wars;Qual è il nome della spada laser con la lama nera apparsa in "The Clone Wars" e "The Mandalorian"?;4 risposte;Spada dell'Ombra;Lama Oscura;Spada Sith;###Darksaber;;;⭐⭐⭐;16/01/2026
STARW-0036;Star Wars;Vero o Falso: Anakin Skywalker è nato sul pianeta Naboo.;Vero/Falso;Vero;###Falso;;;;;⭐⭐;16/01/2026
STARW-0037;Star Wars;Chi ha costruito C-3PO?;4 risposte;###Anakin Skywalker;Padmé Amidala;Obi-Wan Kenobi;Owen Lars;;;⭐⭐;16/01/2026
STARW-0038;Star Wars;Quale pianeta vulcanico è teatro del duello finale tra Obi-Wan e Anakin?;4 risposte;Sullust;###Mustafar;Dagobah;Crait;;;⭐⭐;16/01/2026
STARW-0039;Star Wars;Chi è il Leader Supremo del Primo Ordine in "Il Risveglio della Forza"?;4 risposte;Kylo Ren;Generale Hux;###Snoke;Palpatine;;;⭐⭐;16/01/2026
STARW-0040;Star Wars;Quale di questi NON è un titolo di un film della saga Skywalker?;6 risposte;La Minaccia Fantasma;L'Attacco dei Cloni;La Vendetta dei Sith;Una Nuova Speranza;L'Impero Colpisce Ancora;###La Guerra dei Cloni;⭐⭐⭐;16/01/2026
STARW-0041;Star Wars;Come si chiama il cacciatore di taglie che fa da "padre" genetico ai cloni?;4 risposte;Boba Fett;###Jango Fett;Bossk;Dengar;;;⭐⭐;16/01/2026
STARW-0042;Star Wars;Che grado ricopre Tarkin nella Morte Nera?;4 risposte;Ammiraglio;Generale;###Gran Moff;Comandante;;;⭐⭐⭐;16/01/2026
STARW-0043;Star Wars;Chi è il padre di Boba Fett?;Risposta aperta;###Jango Fett;;;;;;⭐⭐;16/01/2026
STARW-0044;Star Wars;Qual è la specie di Chewbacca?;4 risposte;Ewok;Rodiano;Trandoshano;###Wookiee;;;⭐;16/01/2026
STARW-0045;Star Wars;Vero o Falso: La Morte Nera ha un diametro di oltre 500 km.;Vero/Falso;Vero;###Falso;;;;;⭐⭐⭐⭐;16/01/2026
STARW-0046;Star Wars;Qual è il nome del leader dell'Alleanza Ribelle che appare sia in "Rogue One" che nei film classici?;4 risposte;Leia Organa;###Mon Mothma;Bail Organa;Ammiraglio Raddus;;;⭐⭐⭐;16/01/2026
STARW-0047;Star Wars;Quale gioco da tavolo olografico si gioca sul Millennium Falcon?;4 risposte;Sabacc;###Dejarik;Pazaak;Shah-tezh;;;⭐⭐⭐⭐;16/01/2026
STARW-0048;Star Wars;Quale materiale è resistente alle spade laser ed è usato nell'armatura Mandaloriana?;4 risposte;Duracciaio;Carbonite;###Beskar;Adamantio;;;⭐⭐;16/01/2026
STARW-0049;Star Wars;Chi ha detto: "Io sono tuo padre"?;Frase interrotta a 2 risposte;L'Imperatore;###Darth Vader (Darth Vader);;;;;⭐;16/01/2026
STARW-0050;Star Wars;Quanti motori ha un caccia X-Wing?;4 risposte;2;3;###4;6;;;⭐⭐;16/01/2026
STARW-0051;Star Wars;Chi è stata la padawan di Anakin Skywalker durante le Guerre dei Cloni?;4 risposte;Aayla Secura;###Ahsoka Tano;Luminara Unduli;Shaak Ti;;;⭐⭐;16/01/2026
STARW-0052;Star Wars;Qual è il vero nome di Kylo Ren?;4 risposte;Jacen Solo;Anakin Solo;###Ben Solo;Bail Solo;;;⭐;16/01/2026
STARW-0053;Star Wars;Quale attore interpreta il giovane Lando Calrissian nel film "Solo: A Star Wars Story"?;4 risposte;###Donald Glover;Michael B. Jordan;John Boyega;Billy Dee Williams;;;⭐⭐⭐;16/01/2026
STARW-0054;Star Wars;Su quale pianeta tropicale si trovano i piani della Morte Nera in "Rogue One"?;4 risposte;Eadu;Jedha;Lah'mu;###Scarif;;;⭐⭐;16/01/2026
STARW-0055;Star Wars;Come si chiama il maggiordomo Twi'lek di Jabba the Hutt?;4 risposte;###Bib Fortuna;Salacious Crumb;Max Rebo;Oola;;;⭐⭐⭐;16/01/2026
STARW-0056;Star Wars;Chi è l'ancella che si spaccia per la Regina Amidala in "La Minaccia Fantasma" (interpretata da Keira Knightley)?;4 risposte;Cordé;###Sabé;Dormé;Versé;;;⭐⭐⭐⭐;16/01/2026
STARW-0057;Star Wars;Qual è il numero di matricola da assaltatore di Finn?;4 risposte;TK-421;FN-0000;###FN-2187;CT-7567;;;⭐⭐⭐;16/01/2026
STARW-0058;Star Wars;Secondo C-3PO, quante forme di comunicazione conosce approssimativamente?;4 risposte;1 Milione;Oltre 1000;Oltre 3 Milioni;###Oltre 6 Milioni;;;⭐⭐;16/01/2026
STARW-0059;Star Wars;Vero o Falso: George Lucas ha diretto personalmente il film "L'Impero colpisce ancora".;Vero/Falso;Vero;###Falso;;;;;⭐⭐⭐;16/01/2026
STARW-0060;Star Wars;Completa il credo Mandaloriano: "Questa è...";Frase interrotta a 2 risposte;...la legge;###...la via;;;;;⭐;16/01/2026
STARW-0061;Star Wars;Come si chiama il fratello di Darth Maul, addestrato dal Conte Dooku?;4 risposte;Pre Vizsla;###Savage Opress;Asajj Ventress;Hondo Ohnaka;;;⭐⭐⭐;16/01/2026
STARW-0062;Star Wars;A quale specie aliena dalla pelle blu appartiene il Grand'Ammiraglio Thrawn?;4 risposte;###Chiss;Duros;Pantorano;Twi'lek;;;⭐⭐⭐;16/01/2026
STARW-0063;Star Wars;Come si chiama la nave usata dal Mandaloriano (Din Djarin) nelle prime due stagioni?;4 risposte;Ghost;Slave I;###Razor Crest;N-1 Starfighter;;;⭐⭐;16/01/2026
STARW-0064;Star Wars;Chi ripara C-3PO nella Città delle Nuvole in "L'Impero Colpisce Ancora"?;4 risposte;###Chewbacca;Lando Calrissian;R2-D2;Luke Skywalker;;;⭐⭐;16/01/2026
STARW-0065;Star Wars;Di quale pianeta è viceré Bail Organa, padre adottivo di Leia?;4 risposte;Chandrila;###Alderaan;Corellia;Dantooine;;;⭐⭐;16/01/2026
STARW-0066;Star Wars;Qual è il pianeta natale degli Wookiee?;4 risposte;Endor;Yavin IV;Ryloth;###Kashyyyk;;;⭐⭐;16/01/2026
STARW-0067;Star Wars;Chi di questi personaggi NON è un cacciatore di taglie?;6 risposte;Bossk;Dengar;4-LOM;Zuckuss;Boba Fett;###Moff Gideon;⭐⭐;16/01/2026
STARW-0068;Star Wars;Da cosa ha ricavato Rey i pezzi per costruire la sua spada laser gialla?;4 risposte;Dalla spada di Luke;###Dal suo bastone;Dalla spada di Leia;Dall'armatura di Phasma;;;⭐⭐⭐;16/01/2026
STARW-0069;Star Wars;Chi è stato il maestro Jedi del Conte Dooku quando era giovane?;4 risposte;Mace Windu;Qui-Gon Jinn;###Yoda;Palpatine;;;⭐⭐;16/01/2026
STARW-0070;Star Wars;Chi uccide Han Solo?;4 risposte;###Kylo Ren;Darth Vader;Boba Fett;Snoke;;;⭐;16/01/2026
STARW-0071;Star Wars;Chi ha creato la "Regola dei Due" dei Sith (un maestro e un apprendista)?;4 risposte;Darth Plagueis;Darth Sidious;Darth Revan;###Darth Bane;;;⭐⭐⭐⭐;16/01/2026
STARW-0072;Star Wars;Come si chiama la sostanza liquida curativa in cui vengono immersi Luke (Ep. V) e Darth Vader (Rogue One)?;Risposta aperta;###Bacta;;;;;;⭐⭐⭐;16/01/2026
STARW-0073;Star Wars;Chi è l'ingegnere che ha progettato la falla nel reattore della Morte Nera (padre di Jyn Erso)?;4 risposte;Orson Krennic;###Galen Erso;Saw Gerrera;Bodhi Rook;;;⭐⭐;16/01/2026
STARW-0074;Star Wars;Quale creatura con un occhio solo vive nel compattatore di rifiuti della Morte Nera?;4 risposte;Rancor;Nexu;###Dianoga;Rathtar;;;⭐⭐⭐⭐;16/01/2026
STARW-0075;Star Wars;Quale pianeta è stato cancellato dagli archivi Jedi nel tempio di Coruscant?;4 risposte;###Kamino;Geonosis;Utapau;Felucia;;;⭐⭐;16/01/2026
STARW-0076;Star Wars;Continua la risposta del Generale Grievous: Obi-Wan dice "Ehilà! (Hello There)", Grievous risponde...;Continua la risposta;###Generale Kenobi;;;;;;⭐;16/01/2026
STARW-0077;Star Wars;Su quale pianeta si trova il castello di Maz Kanata?;4 risposte;D'Qar;###Takodana;Ahch-To;Canto Bight;;;⭐⭐⭐;16/01/2026
STARW-0078;Star Wars;Come si chiamano le guardie vestite di rosso che proteggono Snoke?;4 risposte;Guardie Reali;Guardie dell'Ombra;Cavalieri di Ren;###Guardie Pretoriane;;;⭐⭐⭐;16/01/2026
STARW-0079;Star Wars;Di che colore è il latte che Luke Skywalker munge dalla creatura su Ahch-To in "Gli Ultimi Jedi"?;4 risposte;###Verde;Blu;Rosa;Bianco;;;⭐⭐;16/01/2026
STARW-0080;Star Wars;Di quale città Lando Calrissian era l'amministratore?;4 risposte;Mos Eisley;Città Galattica;###Città delle Nuvole (Cloud City);Tipoca City;;;⭐;16/01/2026
STARW-0081;Star Wars;Cosa significa l'acronimo "TIE" nei caccia TIE Fighter?;4 risposte;###Twin Ion Engine;Twin Imperial Engine;Turbo Ion Engine;Turbo Imperial Exhaust;;;⭐⭐⭐⭐;16/01/2026
STARW-0082;Star Wars;Quale personaggio ha un conteggio di Midi-chlorian superiore a 20.000?;4 risposte;Yoda;###Anakin Skywalker;Luke Skywalker;Palpatine;;;⭐;16/01/2026
STARW-0083;Star Wars;Quante braccia utilizza in combattimento il Generale Grievous?;4 risposte;2;3;6;###4;;;⭐;16/01/2026
STARW-0084;Star Wars;Come si chiama il droide imperiale riprogrammato compagno di Cassian Andor?;4 risposte;IG-11;L3-37;###K-2SO;Chopper;;;⭐⭐;16/01/2026
STARW-0085;Star Wars;Chi ha diretto "Star Wars: Episodio VIII - Gli Ultimi Jedi"?;4 risposte;###Rian Johnson;J.J. Abrams;Gareth Edwards;Ron Howard;;;⭐⭐;16/01/2026
STARW-0086;Star Wars;Vero o Falso: Jar Jar Binks è segretamente un Signore dei Sith nel canone ufficiale.;Vero/Falso;Vero;###Falso;;;;;⭐;16/01/2026
STARW-0087;Star Wars;Qual era il nome in codice di Wedge Antilles durante l'attacco alla prima Morte Nera?;4 risposte;Rosso Cinque;###Rosso Due;Oro Uno;Rosso Leader;;;⭐⭐⭐;16/01/2026
STARW-0088;Star Wars;Qual è il nome del droide astromeccanico di Poe Dameron?;4 risposte;R2-D2;C1-10P;R5-D4;###BB-8;;;⭐;16/01/2026
STARW-0089;Star Wars;Di chi è biologicamente nipote Rey?;4 risposte;Obi-Wan Kenobi;Luke Skywalker;###Imperatore Palpatine;Conte Dooku;;;⭐;16/01/2026
STARW-0090;Star Wars;Come viene chiamato il personaggio che forgia le armature mandaloriane nella serie "The Mandalorian"?;4 risposte;###L'Armaiola (The Armorer);Il Fabbro;La Forgiatrice;Bo-Katan;;;⭐⭐;16/01/2026
STARW-0091;Star Wars;Quale mostro delle nevi attacca Luke Skywalker su Hoth?;4 risposte;Tauntaun;###Wampa;Yeti Spaziale;Tusken;;;⭐⭐;16/01/2026
STARW-0092;Star Wars;A chi si riferisce la profezia Jedi del "Prescelto"?;4 risposte;Luke Skywalker;Rey;###Anakin Skywalker;Kylo Ren;;;⭐⭐;16/01/2026
STARW-0093;Star Wars;In quanti parsec il Millennium Falcon ha fatto la rotta di Kessel?;4 risposte;###Meno di 12;Meno di 14;Esattamente 12;Meno di 20;;;⭐⭐;16/01/2026
STARW-0094;Star Wars;Chi di questi maestri NON faceva parte del Consiglio Jedi in "Episodio I"?;6 risposte;Yoda;Mace Windu;Ki-Adi-Mundi;Plo Koon;Saesee Tiin;###Qui-Gon Jinn;⭐⭐⭐;16/01/2026
STARW-0095;Star Wars;Dove conduce il "Puntatore Sith" (Wayfinder) trovato da Kylo Ren?;4 risposte;Mustafar;Korriban;Moraband;###Exegol;;;⭐⭐⭐;16/01/2026
STARW-0096;Star Wars;Quale cognome sceglie Rey alla fine di "L'Ascesa di Skywalker"?;4 risposte;Palpatine;###Skywalker;Solo;Organa;;;⭐;16/01/2026
STARW-0097;Star Wars;L'attrice Carrie Fisher interpretava quale personaggio?;4 risposte;###Principessa Leia;Padmé Amidala;Jyn Erso;Mon Mothma;;;⭐;16/01/2026
STARW-0098;Star Wars;Qual è il nome storico della nave di Boba Fett?;4 risposte;Executor;Devastator;###Slave I;Bounty Hunter;;;⭐⭐;16/01/2026
STARW-0099;Star Wars;Completa la frase di Obi-Wan a Luke nella trincea della Morte Nera: "Usa la...";Frase interrotta a 2 risposte;...spada;###...Forza;;;;;⭐;16/01/2026
STARW-0100;Star Wars;Chi era il Cancelliere Supremo della Repubblica prima dell'elezione di Palpatine?;4 risposte;Bail Organa;Mas Amedda;Tarkin;###Valorum;;;⭐⭐⭐⭐;16/01/2026
