Numero domanda;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
18;Signore degli Anelli;Gli Ent sono guardiani delle foreste.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
19;Signore degli Anelli;Come si chiama il re degli Ent?;4 risposte;A) Legolas, B) Radagast, __C) Barbalbero__, D) Grima;⭐⭐;14/12/2025
20;Signore degli Anelli;Chi è il sovrintendente di Gondor?;4 risposte;A) Théoden, __B) Denethor__, C) Boromir, D) Elrond;⭐⭐;14/12/2025
21;Signore degli Anelli;Chi è il migliore amico di Frodo?;4 risposte;A) Merry, B) Pippin, __C) Sam__, D) Bilbo;⭐;14/12/2025
22;Signore degli Anelli;Come si chiama la spada di Frodo?;4 risposte;A) Orcrist, __B) Pungolo (Sting)__, C) Narsil, D) Andúril;⭐⭐;14/12/2025
23;Signore degli Anelli;Gli Elfi vivono a lungo ma possono morire.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
24;Signore degli Anelli;Chi è il signore di Lórien?;4 risposte;A) Elrond, __B) Celeborn__, C) Thranduil, D) Gil-galad;⭐⭐;14/12/2025
25;Signore degli Anelli;Qual è il nome della moglie di Celeborn?;4 risposte;A) Arwen, __B) Galadriel__, C) Éowyn, D) Idril;⭐⭐;14/12/2025
26;Signore degli Anelli;Scrivi il nome del padre di Legolas.;Risposta aperta;__Thranduil__;⭐⭐;14/12/2025
27;Signore degli Anelli;Chi è il re degli Uomini del Nord?;4 risposte;A) Théoden, __B) Aragorn__, C) Boromir, D) Denethor;⭐⭐;14/12/2025
28;Signore degli Anelli;Gli Hobbit amano mangiare spesso.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
29;Signore degli Anelli;Come si chiama il cavallo di Gandalf?;4 risposte;A) Arod, B) Brego, __C) Ombromanto__, D) Hasufel;⭐⭐;14/12/2025
30;Signore degli Anelli;Chi distrugge l’Anello?;4 risposte;A) Frodo, __B) Gollum__, C) Sam, D) Aragorn;⭐⭐⭐;14/12/2025
31;Signore degli Anelli;Chi è la figlia di Elrond?;4 risposte;A) Galadriel, __B) Arwen__, C) Éowyn, D) Idril;⭐⭐;14/12/2025
32;Signore degli Anelli;Come si chiama la fortezza di Rohan?;4 risposte;A) Minas Tirith, __B) Edoras__, C) Helm’s Deep, D) Osgiliath;⭐⭐;14/12/2025
33;Signore degli Anelli;Gli Uruk-hai sono più forti degli Orchi comuni.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
34;Signore degli Anelli;Chi è il re stregone di Angmar?;4 risposte;A) Saruman, __B) Il Re dei Nazgûl__, C) Sauron, D) Gothmog;⭐⭐⭐;14/12/2025
35;Signore degli Anelli;Qual è la capitale di Gondor?;4 risposte;A) Osgiliath, __B) Minas Tirith__, C) Dol Amroth, D) Pelargir;⭐⭐;14/12/2025
36;Signore degli Anelli;Scrivi il nome del drago ucciso da Bard.;Risposta aperta;__Smaug__;⭐⭐⭐;14/12/2025
37;Signore degli Anelli;Chi tradisce Rohan?;4 risposte;A) Denethor, __B) Grima Vermilinguo__, C) Boromir, D) Saruman;⭐⭐;14/12/2025
38;Signore degli Anelli;Gli Anelli del Potere sono 20 in totale.;Vero/Falso;__Vero__, Falso;⭐⭐⭐;14/12/2025
39;Signore degli Anelli;Chi è il signore degli Elfi di Rivendell?;4 risposte;A) Celeborn, __B) Elrond__, C) Thranduil, D) Gil-galad;⭐⭐;14/12/2025
40;Signore degli Anelli;Chi è il fratello di Boromir?;4 risposte;A) Théodred, __B) Faramir__, C) Denethor, D) Aragorn;⭐⭐;14/12/2025
41;Signore degli Anelli;Chi è il re di Gondor alla fine della trilogia?;4 risposte;A) Boromir, B) Denethor, __C) Aragorn__, D) Faramir;⭐⭐;14/12/2025
42;Signore degli Anelli;Gli Elfi non dormono come gli uomini.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
43;Signore degli Anelli;Come si chiama il Balrog affrontato da Gandalf?;4 risposte;A) Gothmog, __B) Durin’s Bane__, C) Glaurung, D) Ancalagon;⭐⭐⭐;14/12/2025
44;Signore degli Anelli;Chi è il re di Rohan dopo Théoden?;4 risposte;A) Boromir, __B) Éomer__, C) Aragorn, D) Faramir;⭐⭐;14/12/2025
45;Signore degli Anelli;Qual è il nome della spada di Bilbo?;4 risposte;A) Andúril, __B) Pungolo (Sting)__, C) Orcrist, D) Narsil;⭐⭐;14/12/2025
46;Signore degli Anelli;Scrivi il nome della madre di Frodo.;Risposta aperta;__Primula__;⭐⭐⭐;14/12/2025
47;Signore degli Anelli;Chi è il capo degli Uruk-hai?;4 risposte;A) Gothmog, __B) Lurtz__, C) Azog, D) Bolg;⭐⭐;14/12/2025
48;Signore degli Anelli;Gli Hobbit vivono più a lungo degli uomini.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
49;Signore degli Anelli;Come si chiama la fortezza di Gondor vicino al fiume?;4 risposte;A) Helm’s Deep, __B) Osgiliath__, C) Edoras, D) Dol Amroth;⭐⭐;14/12/2025
50;Signore degli Anelli;Chi è il capitano dei Rohirrim?;4 risposte;A) Théoden, __B) Éomer__, C) Grima, D) Aragorn;⭐⭐;14/12/2025
51;Signore degli Anelli;Chi è il vero nome di Smeagol?;4 risposte;__A) Smeagol__, B) Déagol, C) Gollum, D) Grishnákh;⭐⭐;14/12/2025
52;Signore degli Anelli;Gli Elfi possono vedere al buio.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
53;Signore degli Anelli;Chi è il re degli Elfi di Lórien?;4 risposte;A) Elrond, __B) Celeborn__, C) Thranduil, D) Gil-galad;⭐⭐;14/12/2025
54;Signore degli Anelli;Qual è il nome della spada riforgiata per Aragorn?;4 risposte;A) Narsil, __B) Andúril__, C) Glamdring, D) Orcrist;⭐⭐;14/12/2025
55;Signore degli Anelli;Gli Anelli degli Elfi sono tre.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
56;Signore degli Anelli;Scrivi il nome del drago ucciso da Turin Turambar.;Risposta aperta;__Glaurung__;⭐⭐⭐⭐;14/12/2025
57;Signore degli Anelli;Chi è il signore dei Nazgûl?;4 risposte;A) Sauron, __B) Re Stregone di Angmar__, C) Gothmog, D) Saruman;⭐⭐⭐;14/12/2025
58;Signore degli Anelli;Gli Orchi temono la luce del sole.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
59;Signore degli Anelli;Come si chiama la città degli Elfi di Lórien?;4 risposte;A) Rivendell, __B) Caras Galadhon__, C) Lindon, D) Eregion;⭐⭐;14/12/2025
60;Signore degli Anelli;Chi è il padre di Boromir?;4 risposte;A) Théoden, __B) Denethor__, C) Aragorn, D) Elrond;⭐⭐;14/12/2025
61;Signore degli Anelli;Chi è il re degli Elfi del Bosco Atro?;4 risposte;A) Elrond, __B) Thranduil__, C) Celeborn, D) Gil-galad;⭐⭐;14/12/2025
62;Signore degli Anelli;Gli Hobbit hanno piedi pelosi.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
63;Signore degli Anelli;Come si chiama la spada di Gandalf?;4 risposte;A) Orcrist, __B) Glamdring__, C) Narsil, D) Andúril;⭐⭐;14/12/2025
64;Signore degli Anelli;Chi è il re degli Uomini di Dale?;4 risposte;A) Théoden, __B) Bard__, C) Aragorn, D) Denethor;⭐⭐⭐;14/12/2025
65;Signore degli Anelli;Gli Elfi non invecchiano.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
66;Signore degli Anelli;Scrivi il nome del lupo mannaro servitore di Sauron.;Risposta aperta;__Carcharoth__;⭐⭐⭐⭐;14/12/2025
67;Signore degli Anelli;Chi è il signore dei cavalli di Rohan?;4 risposte;A) Théoden, __B) Éomer__, C) Aragorn, D) Grima;⭐⭐;14/12/2025
68;Signore degli Anelli;Gli Elfi parlano la lingua Sindarin.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
69;Signore degli Anelli;Come si chiama la torre di Sauron?;4 risposte;A) Orthanc, __B) Barad-dûr__, C) Minas Morgul, D) Cirith Ungol;⭐⭐⭐;14/12/2025
70;Signore degli Anelli;Chi è il re dei Dunedain?;4 risposte;A) Boromir, __B) Aragorn__, C) Denethor, D) Faramir;⭐⭐;14/12/2025
71;Signore degli Anelli;Chi è il vero nome di Saruman?;4 risposte;A) Curumo, __B) Curunír__, C) Aiwendil, D) Olórin;⭐⭐⭐⭐;14/12/2025
72;Signore degli Anelli;Gli Hobbit vivono nella Contea.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
73;Signore degli Anelli;Come si chiama la creatura ragno gigante?;4 risposte;A) Ungoliant, __B) Shelob__, C) Aragog, D) Mirkwood Spider;⭐⭐;14/12/2025
74;Signore degli Anelli;Chi è il signore degli Elfi di Lindon?;4 risposte;A) Elrond, __B) Gil-galad__, C) Thranduil, D) Celeborn;⭐⭐⭐;14/12/2025
75;Signore degli Anelli;Gli Anelli degli Uomini sono nove.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
76;Signore degli Anelli;Scrivi il nome del cavallo di Aragorn.;Risposta aperta;__Brego__;⭐⭐;14/12/2025
77;Signore degli Anelli;Chi è il signore dei Nazgûl?;4 risposte;A) Sauron, __B) Re Stregone di Angmar__, C) Gothmog, D) Saruman;⭐⭐⭐;14/12/2025
78;Signore degli Anelli;Gli Orchi temono la luce del sole.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
79;Signore degli Anelli;Come si chiama la città degli Elfi di Lórien?;4 risposte;A) Rivendell, __B) Caras Galadhon__, C) Lindon, D) Eregion;⭐⭐;14/12/2025
80;Signore degli Anelli;Chi è il padre di Boromir?;4 risposte;A) Théoden, __B) Denethor__, C) Aragorn, D) Elrond;⭐⭐;14/12/2025
81;Signore degli Anelli;Chi è il re degli Elfi del Bosco Atro?;4 risposte;A) Elrond, __B) Thranduil__, C) Celeborn, D) Gil-galad;⭐⭐;14/12/2025
82;Signore degli Anelli;Gli Hobbit hanno piedi pelosi.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
83;Signore degli Anelli;Come si chiama la spada di Gandalf?;4 risposte;A) Orcrist, __B) Glamdring__, C) Narsil, D) Andúril;⭐⭐;14/12/2025
84;Signore degli Anelli;Chi è il re degli Uomini di Dale?;4 risposte;A) Théoden, __B) Bard__, C) Aragorn, D) Denethor;⭐⭐⭐;14/12/2025
85;Signore degli Anelli;Gli Elfi non invecchiano.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
86;Signore degli Anelli;Scrivi il nome del lupo mannaro servitore di Morgoth.;Risposta aperta;__Carcharoth__;⭐⭐⭐⭐;14/12/2025
87;Signore degli Anelli;Chi è il signore dei cavalli di Rohan?;4 risposte;A) Théoden, __B) Éomer__, C) Aragorn, D) Grima;⭐⭐;14/12/2025
88;Signore degli Anelli;Gli Elfi parlano la lingua Sindarin.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
89;Signore degli Anelli;Come si chiama la torre di Sauron?;4 risposte;A) Orthanc, __B) Barad-dûr__, C) Minas Morgul, D) Cirith Ungol;⭐⭐⭐;14/12/2025
90;Signore degli Anelli;Chi è il re dei Dúnedain?;4 risposte;A) Boromir, __B) Aragorn__, C) Denethor, D) Faramir;⭐⭐;14/12/2025
91;Signore degli Anelli;Chi è il vero nome di Saruman?;4 risposte;A) Olórin, B) Aiwendil, __C) Curunír__, D) Eönwë;⭐⭐⭐⭐;14/12/2025
92;Signore degli Anelli;Gli Hobbit vivono nella Contea.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
93;Signore degli Anelli;Come si chiama la creatura ragno gigante?;4 risposte;A) Ungoliant, __B) Shelob__, C) Aragog, D) Mirkwood Spider;⭐⭐;14/12/2025
94;Signore degli Anelli;Chi è il signore degli Elfi di Lindon?;4 risposte;A) Elrond, __B) Gil-galad__, C) Thranduil, D) Celeborn;⭐⭐⭐;14/12/2025
95;Signore degli Anelli;Gli Anelli degli Uomini sono nove.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
96;Signore degli Anelli;Scrivi il nome del cavallo di Aragorn.;Risposta aperta;__Brego__;⭐⭐;14/12/2025
97;Signore degli Anelli;Chi è il signore dei Nazgûl?;4 risposte;A) Saruman, __B) Re Stregone di Angmar__, C) Gothmog, D) Sauron;⭐⭐⭐;14/12/2025
98;Signore degli Anelli;Gli Elfi possono vedere al buio.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
99;Signore degli Anelli;Come si chiama la torre di Saruman?;4 risposte;A) Barad-dûr, __B) Orthanc__, C) Minas Tirith, D) Dol Guldur;⭐⭐;14/12/2025
100;Signore degli Anelli;Chi è il re di Gondor alla fine della storia?;4 risposte;A) Boromir, B) Denethor, __C) Aragorn__, D) Faramir;⭐⭐;14/12/2025
