ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
BARB00022;Barbie;Quale anno ha visto l'introduzione ufficiale di Ken?;4 risposte;A) 1959, ###B) 1961, C) 1965, D) 1970;⭐⭐;14/12/2025
BARB00023;Barbie;Scrivi il nome della linea di Barbie che celebra professioni STEM.;Risposta aperta;###Barbie STEM/Barbie Career (es. Barbie Engineer, Scientist);⭐⭐;14/12/2025
BARB00024;Barbie;La Barbie "Astronaut" è stata prodotta prima o dopo il 1960?;4 risposte;A) Prima, ###B) Dopo, C) Nel 1960, D) Mai stata prodotta;⭐⭐;14/12/2025
BARB00025;Barbie;Quale designer di moda ha collaborato ufficialmente con Barbie per una collezione?;4 risposte;A) Giorgio Armani, ###B) Vera Wang, C) Donatella Versace, D) Vivienne Westwood;⭐⭐⭐;14/12/2025
BARB00026;Barbie;La linea "Barbie Fashionistas" includeva per la prima volta diverse forme del corpo.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BARB00027;Barbie;Quale personaggio è stato introdotto come amico di Barbie e Ken e ha una professione da surfista?;4 risposte;A) Todd, B) Ryan, ###C) Blaine, D) Steven;⭐⭐;14/12/2025
BARB00028;Barbie;Scrivi il nome della casa di bambole iconica spesso venduta come playset.;Risposta aperta;###DreamHouse;⭐⭐;14/12/2025
BARB00029;Barbie;Quale linea è stata creata per celebrare Barbie come icona culturale e moda?;4 risposte;A) Barbie Basics, B) Barbie Playline, ###C) Barbie Collector/Signature, D) Barbie Kids;⭐⭐;14/12/2025
BARB00030;Barbie;La Barbie "Doctor" è stata prodotta prima del 2000.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BARB00031;Barbie;Quale materiale è stato usato per le prime bambole Barbie?;4 risposte;A) Vinile, ###B) Vinile duro, C) Plastica ABS, D) Porcellana;⭐⭐;14/12/2025
BARB00032;Barbie;Scrivi il nome del film d'animazione classico con Barbie come protagonista uscito negli anni 2000.;Risposta aperta;###Barbie in The Nutcracker;⭐⭐;14/12/2025
BARB00033;Barbie;Quale iniziativa educativa è stata promossa da Barbie per incoraggiare le carriere femminili?;4 risposte;A) Barbie Fashion Week, B) Barbie Beauty Program, ###C) Barbie Dream Gap Project, D) Barbie Play Days;⭐⭐⭐;14/12/2025
BARB00034;Barbie;La Barbie "Career" includeva anche ruoli come ingegnere e pilota.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BARB00035;Barbie;Quale collezione celebra Barbie con abiti di alta moda e pezzi da collezione?;4 risposte;A) Playline, B) Fashionistas, ###C) Barbie Signature/Collector, D) Basics;⭐⭐;14/12/2025
BARB00036;Barbie;Scrivi il nome del fratello di Barbie introdotto in alcune linee come "Todd".;Risposta aperta;###Todd (o altri nomi a seconda della linea);⭐⭐;14/12/2025
BARB00037;Barbie;Quale linea è stata lanciata per rappresentare diverse professioni STEM e incoraggiare le ragazze?;4 risposte;A) Barbie Glam, ###B) Barbie Careers/Barbie STEM, C) Barbie Pets, D) Barbie Basics;⭐⭐;14/12/2025
BARB00038;Barbie;La Barbie "Malibu" è stata introdotta negli anni '70.;Vero/Falso;Vero, ###Falso;⭐⭐;14/12/2025
BARB00039;Barbie;Quale evento annuale è noto per presentare nuove collezioni di Barbie da collezione?;4 risposte;A) Comic-Con, B) Milan Fashion Week, ###C) Barbie Convention/Collector events, D) Toy Fair Tokyo;⭐⭐⭐;14/12/2025
BARB00040;Barbie;Scrivi il nome del designer che ha creato alcune edizioni speciali di Barbie ispirate alla moda italiana.;Risposta aperta;###Giorgio Armani (o altri designer come Versace in collaborazioni);⭐⭐⭐;14/12/2025
BARB00041;Barbie;Quale linea ha introdotto Barbie con diverse tonalità di pelle e tipi di capelli per maggiore inclusività?;4 risposte;A) Barbie Classic, ###B) Barbie Fashionistas, C) Barbie Collector, D) Barbie Basics;⭐⭐;14/12/2025
BARB00042;Barbie;La prima Barbie aveva occhi dipinti lateralmente (side-glancing).;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BARB00043;Barbie;Quale accessorio è diventato iconico per Barbie negli anni '60?;4 risposte;A) Smartphone, B) Laptop, ###C) Occhiali da sole oversize, D) Cuffie;⭐⭐;14/12/2025
BARB00044;Barbie;Scrivi il nome della linea che include bambole ispirate a figure storiche o professionali reali.;Risposta aperta;###Barbie Role Models/Barbie Inspiring Women;⭐⭐;14/12/2025
BARB00045;Barbie;Quale paese è stato uno dei primi grandi mercati per Barbie dopo gli USA?;4 risposte;A) Giappone, ###B) Regno Unito, C) Italia, D) Brasile;⭐⭐;14/12/2025
BARB00046;Barbie;La Barbie "Totally Hair" è famosa per i suoi capelli lunghi ed è degli anni '90.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BARB00047;Barbie;Quale linea ha introdotto bambole con protesi e sedie a rotelle per rappresentare la disabilità?;4 risposte;A) Barbie Basics, ###B) Barbie Fashionistas/Inclusion line, C) Barbie Collector, D) Barbie Playline;⭐⭐⭐;14/12/2025
BARB00048;Barbie;Scrivi il nome del programma che Mattel ha lanciato per combattere il "dream gap" nelle bambine.;Risposta aperta;###Barbie Dream Gap Project;⭐⭐;14/12/2025
BARB00049;Barbie;Quale tipo di prodotto non è tipicamente associato al marchio Barbie?;4 risposte;A) Abbigliamento per bambole, B) Playset, C) Film d'animazione, ###D) Automobili reali di lusso prodotte da Mattel;⭐⭐;14/12/2025
BARB00050;Barbie;Chi è spesso citata come figura chiave nella storia del design e del marketing di Barbie?;4 risposte;A) Ruth Handler, B) Elliot Handler, C) Harold Matson, ###D) Ruth Handler;⭐⭐;14/12/2025
