ID;Tema;Domanda;Tipologia;Risposta A;Risposta B;Risposta C;Risposta D;Risposta E;Risposta F;Difficoltà;Data-Creazione
ALIEN-0015;Alien;Quale personaggio sopravvive alla fine di Aliens - Scontro finale?;4 risposte;###Ellen Ripley e Newt;Solo Ripley;Solo Newt;Nessuno sopravvive;;;;⭐;16/01/2026
ALIEN-0016;Alien;Chi è lo sceneggiatore originale della saga Alien?;4 risposte;Dan O'Bannon;Ridley Scott;James Cameron;Walter Hill;;;;⭐⭐⭐;16/01/2026
ALIEN-0017;Alien;Qual è il nome del sergente della squadra di marine in Aliens - Scontro finale?;4 risposte;###Apone;Hicks;Hudson;Vasquez;;;;⭐;16/01/2026
ALIEN-0018;Alien;Vero o Falso: L'Alien ha sangue acido che può corrode quasi ogni materiale.;Vero/Falso;###Vero;Falso;;;;;;⭐;16/01/2026
ALIEN-0019;Alien;Come si chiama il cane che viene infettato dall'Alien nel film Alien³?;4 risposte;###Spike;Ripley;Buster;Max;;;;⭐⭐;16/01/2026
ALIEN-0020;Alien;Quale attore interpreta il ruolo di Bishop l'androide in Aliens - Scontro finale?;4 risposte;Lance Henriksen;###Lance Henriksen;Michael Biehn;Bill Paxton;;;;⭐;16/01/2026
ALIEN-0021;Alien;Dove viene girato principalmente Alien - La riscossa?;6 risposte;Inghilterra;Stati Uniti;Canada;Australia;Nuova Zelanda;###Francia;;;;⭐⭐⭐;16/01/2026
ALIEN-0022;Alien;Quale di questi NON è un nome alternativo per la creatura Alien?;6 risposte;Xenomorfo;###Space Jockey;Facehugger;Chestburster;Queen;Runner;;;;⭐⭐;16/01/2026
ALIEN-0023;Alien;Chi ha composto la colonna sonora del primo film Alien?;4 risposte;Jerry Goldsmith;James Horner;Hans Zimmer;John Williams;;;;⭐⭐⭐;16/01/2026
ALIEN-0024;Alien;Completa la frase: "Nella Nostromo il protocollo prioritario è...";Frase interrotta a 2 risposte;###preservare il carico;salvare l'equipaggio;;;;;;⭐⭐;16/01/2026
ALIEN-0025;Alien;Quale membro dell'equipaggio dice la famosa frase "Game over, man!" in Aliens - Scontro finale?;4 risposte;Hudson;###Hudson;Vasquez;Gorman;;;;⭐;16/01/2026
ALIEN-0026;Alien;Vero o Falso: Nel primo film, Ripley è l'ufficiale più alto in grado sulla Nostromo.;Vero/Falso;Falso;###Vero;;;;;;⭐⭐;16/01/2026
ALIEN-0027;Alien;Come si chiama il pianeta su cui atterra la Sulaco in Aliens - Scontro finale?;4 risposte;LV-426;###LV-426;Acheron;Calypso;;;;⭐;16/01/2026
ALIEN-0028;Alien;Quale personaggio viene fecondato dall'Alien Queen in Alien: La clonazione?;4 risposte;Call;###Ripley;Annalee;Distephano;;;;⭐⭐;16/01/2026
ALIEN-0029;Alien;Chi ha disegnato il design originale dell'Alien?;4 risposte;###H.R. Giger;Ridley Scott;James Cameron;Stan Winston;;;;⭐⭐⭐;16/01/2026
ALIEN-0030;Alien;Risposta aperta: Come si chiama la nave militare in Aliens - Scontro finale?;Risposta aperta;Sulaco;;;;;;;;⭐⭐;16/01/2026
ALIEN-0031;Alien;Quale di questi film è diretto da David Fincher?;4 risposte;Alien³;###Alien³;Aliens - Scontro finale;Alien - La riscossa;;;;⭐⭐;16/01/2026
ALIEN-0032;Alien;Vero o Falso: L'Alien Queen appare per la prima volta in Aliens - Scontro finale.;Vero/Falso;###Vero;Falso;;;;;;⭐;16/01/2026
ALIEN-0033;Alien;Quale personaggio dice "Get away from her, you bitch!" in Aliens - Scontro finale?;4 risposte;###Ripley;Vasquez;Hudson;Newt;;;;⭐;16/01/2026
ALIEN-0034;Alien;Come muore il sergente Apone in Aliens - Scontro finale?;4 risposte;###Viene trascinato via dall'Alien;Viene ucciso da un marine;Muore per le ferite;Viene abbandonato;;;;⭐⭐;16/01/2026
ALIEN-0035;Alien;Quale azienda ha prodotto gli effetti speciali per il primo film Alien?;4 risposte;Industrial Light & Magic;###Brandywine Productions;Stan Winston Studio;Amalgamated Dynamics;;;;⭐⭐⭐;16/01/2026
ALIEN-0036;Alien;Chi interpreta la parte di Newt in Aliens - Scontro finale?;4 risposte;Carrie Henn;###Carrie Henn;Sigourney Weaver;Jenette Goldstein;;;;⭐;16/01/2026
ALIEN-0037;Alien;Quale di questi NON è un film della saga principale di Alien?;4 risposte;Alien vs Predator;###Alien vs Predator;Alien;Aliens - Scontro finale;;;;⭐⭐;16/01/2026
ALIEN-0038;Alien;Continua la risposta: Il protocollo speciale Nostromo 937 richiede...;Continua la risposta;###di preservare qualsiasi forma di vita aliena;;;;;;;⭐⭐;16/01/2026
ALIEN-0039;Alien;Vero o Falso: Nel film Alien, la creatura viene chiamata "The perfect organism".;Vero/Falso;###Vero;Falso;;;;;;⭐;16/01/2026
ALIEN-0040;Alien;Quale personaggio viene trovato vivo alla fine di Alien³?;4 risposte;Nessuno;###Nessuno;Ripley;Dillon;;;;⭐⭐;16/01/2026
ALIEN-0041;Alien;Come si chiama l'androide che sostituisce Bishop in Alien³?;4 risposte;Bishop II;###Bishop II;Michael Weyland;Aaron;Ash II;;;⭐⭐;16/01/2026
ALIEN-0042;Alien;Quale di questi è il vero nome del pianeta LV-426?;4 risposte;###Acheron;Calypso;Haven;New Shanghai;;;;⭐⭐⭐;16/01/2026
ALIEN-0043;Alien;Chi ha scritto la sceneggiatura di Aliens - Scontro finale?;4 risposte;###James Cameron;David Giler;Walter Hill;Lawrence Kasdan;;;;⭐⭐;16/01/2026
ALIEN-0044;Alien;Vero o Falso: L'Alien Queen è più alta di un umano medio.;Vero/Falso;###Vero;Falso;;;;;;⭐;16/01/2026
ALIEN-0045;Alien;Quale membro dell'equipaggio di Aliens - Scontro finale è un medico militare?;4 risposte;Gorman;###Gorman;Dietrich;Ferro;;;;⭐;16/01/2026
ALIEN-0046;Alien;Come si chiama il laboratorio segreto in Alien: La clonazione?;4 risposte;USM Auriga;###USM Auriga;Weyland-Yutani Lab;Biosyn Facility;;;;⭐⭐;16/01/2026
ALIEN-0047;Alien;Quale attore interpreta il ruolo di Johner in Alien: La clonazione?;4 risposte;Dominique Pinon;Ron Perlman;Michael Wincott;###Brad Dourif;;;;⭐⭐;16/01/2026
ALIEN-0048;Alien;Quale di questi è un vero modello di nave nella saga Alien?;6 risposte;###Nostromo;Sulaco;Prometheus;Covenant;Marion;Patna;;;;⭐;16/01/2026
ALIEN-0049;Alien;Risposta aperta: Come si chiama il tenente colonnello delle marine in Aliens - Scontro finale?;Risposta aperta;Gorman;;;;;;;;⭐⭐;16/01/2026
ALIEN-0050;Alien;Vero o Falso: L'Alien è considerato uno dei mostri più iconici della storia del cinema.;Vero/Falso;###Vero;Falso;;;;;;⭐⭐⭐⭐;16/01/2026
