ID;Tema;Domanda;Tipologia;Risposta A;Risposta B;Risposta C;Risposta D;Risposta E;Risposta F;Difficoltà;Data creazione
ANMAN-0048;Anime e Manga;Chi è il mangaka dietro "Hunter x Hunter" e "Yu Yu Hakusho"?;4 risposte;Hiromu Arakawa;###Yoshihiro Togashi;Tite Kubo;Katsura Hoshino;;;⭐⭐;16/01/2026
ANMAN-0049;Anime e Manga;Chi ha pronunciato la frase "Sei già morto"?;Frase interrotta a 2 risposte;Raoul;###Kenshiro;;;;;⭐;16/01/2026
ANMAN-0050;Anime e Manga;Qual è il nome dell'autore di "Devilman"?;4 risposte;Yoshiyuki Tomino;###Go Nagai;Masami Kurumada;Buichi Terasawa;;;⭐;16/01/2026
ANMAN-0051;Anime e Manga;Chi è l'autore del manga "L'Immortale" (Hiroaki Samura)?;4 risposte;###Hiroaki Samura;Takehiko Inoue;Kentaro Miura;Tsutomu Nihei;;;⭐⭐⭐;16/01/2026
ANMAN-0052;Anime e Manga;In "Code Geass", qual è il vero nome di Lelouch?;4 risposte;Lelouch Britannia;###Lelouch vi Britannia;Lelouch Lamperouge;Lelouch kururugi;;;⭐⭐;16/01/2026
ANMAN-0053;Anime e Manga;Quale manga di Naoki Urasawa è ispirato a un arco narrativo di Astro Boy?;4 risposte;Monster;20th Century Boys;###Pluto;Billy Bat;;;⭐⭐⭐;16/01/2026
ANMAN-0054;Anime e Manga;Vero o Falso: Il manga "Death Note" è stato scritto da Tsugumi Ohba e disegnato da Takeshi Obata.;Vero/Falso;###Vero;Falso;;;;;⭐;16/01/2026
ANMAN-0055;Anime e Manga;Qual è il nome del protagonista di "City Hunter"?;4 risposte;Hideyuki Makimura;###Ryo Saeba;Umibozu;Falcon;;;⭐;16/01/2026
ANMAN-0056;Anime e Manga;Come si chiama la protagonista del manga "Le situazioni di Lui & Lei"?;4 risposte;Arima Soichiro;###Yukino Miyazawa;Tsubasa Shibahime;Maho Izawa;;;⭐⭐;16/01/2026
ANMAN-0057;Anime e Manga;In "Parasyte", come si chiama il parassita che vive nella mano destra di Shinichi?;4 risposte;Ryoko;###Migi;Joe;Gotou;;;⭐⭐;16/01/2026
ANMAN-0058;Anime e Manga;Quale di questi anime è stato prodotto dallo studio Sunrise?;6 risposte;Evangelion;###Cowboy Bebop;L'attacco dei giganti;Naruto;One Piece;Dragon Ball;⭐⭐⭐;16/01/2026
ANMAN-0059;Anime e Manga;Chi è il mangaka autore di "GTO - Great Teacher Onizuka"?;4 risposte;Masakazu Katsura;###Toru Fujisawa;Tsutomu Takahashi;Minoru Furuya;;;⭐⭐;16/01/2026
ANMAN-0060;Anime e Manga;Qual è il nome del leggendario tesoro in "One Piece" (giusto per citare il titolo)?;4 risposte;All Blue;Poneglyph;###One Piece;Rio Poneglyph;;;⭐;16/01/2026
ANMAN-0061;Anime e Manga;In quale anno uscì in Giappone il film "Ghost in the Shell" di Mamoru Oshii?;4 risposte;1989;1992;###1995;1998;;;⭐⭐⭐;16/01/2026
ANMAN-0062;Anime e Manga;Qual è il nome dell'autore di "Gantz"?;4 risposte;###Hiroya Oku;Inio Asano;Tite Kubo;Sui Ishida;;;⭐⭐;16/01/2026
ANMAN-0063;Anime e Manga;Vero o Falso: L'anime "Mazinga Z" è il primo anime della storia con un robot pilotato dall'interno.;Vero/Falso;###Vero;Falso;;;;;⭐⭐;16/01/2026
ANMAN-0064;Anime e Manga;In "Ergo Proxy", come si chiamano i robot che convivono con gli umani?;4 risposte;Reploidi;###AutoReiv;Cyborg;Androidi;;;⭐⭐⭐;16/01/2026
ANMAN-0065;Anime e Manga;Completa il titolo del manga di Inio Asano: "Buonanotte,...";Frase interrotta a 2 risposte;...Sole;###...Punpun;;;;;⭐⭐;16/01/2026
ANMAN-0066;Anime e Manga;Quale mangaka ha creato "I Cavalieri dello Zodiaco" (Saint Seiya)?;4 risposte;###Masami Kurumada;Shiori Teshirogi;Chimaki Kuori;Megumu Okada;;;⭐;16/01/2026
ANMAN-0067;Anime e Manga;Chi ha diretto il film d'animazione "Paprika - Sognando un sogno"?;4 risposte;Hayao Miyazaki;###Satoshi Kon;Makoto Shinkai;Mamoru Hosoda;;;⭐⭐⭐;16/01/2026
ANMAN-0068;Anime e Manga;Qual è il nome del gatto bianco compagno di Sailor Moon?;4 risposte;###Artemis;Luna;Diana;Mau;;;⭐;16/01/2026
ANMAN-0069;Anime e Manga;In "Initial D", quale modello di auto guida Takumi Fujiwara?;4 risposte;Mazda RX-7;Nissan Skyline;###Toyota Sprinter Trueno AE86;Honda Civic;;;⭐⭐⭐;16/01/2026
ANMAN-0070;Anime e Manga;Chi è l'autore di "Vagabond" e "Real"?;Risposta aperta;###Takehiko Inoue;;;;;;⭐⭐;16/01/2026
ANMAN-0071;Anime e Manga;Come si chiama il quartiere di Tokyo famoso per la cultura nerd e degli anime?;4 risposte;Shibuya;Shinjuku;###Akihabara;Harajuku;;;⭐;16/01/2026
ANMAN-0072;Anime e Manga;Quale di questi manga NON è scritto da Rumiko Takahashi?;6 risposte;Ranma 1/2;Lamù;Maison Ikkoku;Inuyasha;Kyokai no Rinne;###Video Girl Ai;⭐⭐;16/01/2026
ANMAN-0073;Anime e Manga;Qual è il nome della protagonista di "Serial Experiments Lain"?;4 risposte;Miki;Alice;###Lain Iwakura;Chisa;;;⭐⭐⭐;16/01/2026
ANMAN-0074;Anime e Manga;Vero o Falso: "Doraemon" non ha un orecchio perché è stato mangiato da un topo robot.;Vero/Falso;Vero;###Falso (mangiato da un topo vero);;;;;⭐⭐⭐⭐;16/01/2026
ANMAN-0075;Anime e Manga;In "Devilman", qual è il nome del demone che si fonde con Akira Fudo?;4 risposte;Zennon;###Amon;Silos;Sirene;;;⭐⭐;16/01/2026
ANMAN-0076;Anime e Manga;Continua la risposta: L'anime sportivo sul pugilato che ha commosso il Giappone negli anni '70 è "Rocky...;Continua la risposta;###Joe;;;;;;⭐;16/01/2026
ANMAN-0077;Anime e Manga;Quale studio d'animazione ha prodotto "L'attacco dei Giganti" (prime 3 stagioni)?;4 risposte;Mappa;###Wit Studio;Ufotable;A-1 Pictures;;;⭐⭐;16/01/2026
ANMAN-0078;Anime e Manga;Qual è il titolo del manga che narra la vita di Miyamoto Musashi?;4 risposte;Shigurui;L'immortale;###Vagabond;Lone Wolf and Cub;;;⭐⭐;16/01/2026
ANMAN-0079;Anime e Manga;In "Lady Oscar", chi è il grande amore non corrisposto di Andre?;4 risposte;###Oscar François de Jarjayes;Maria Antonietta;Rosalie;Charlotte;;;⭐;16/01/2026
ANMAN-0080;Anime e Manga;Quale di questi manga ha come tema centrale il gioco del Go?;4 risposte;Chihayafuru;###Hikaru no Go;March Comes in Like a Lion;Akagi;;;⭐⭐;16/01/2026
ANMAN-0081;Anime e Manga;Chi è l'autore di "Blame!" e "Knights of Sidonia"?;4 risposte;###Tsutomu Nihei;Masamune Shirow;Yukito Kishiro;Makoto Yukimura;;;⭐⭐⭐⭐;16/01/2026
ANMAN-0082;Anime e Manga;Qual è il nome del protagonista di "Mushishi"?;4 risposte;Tanaka;###Ginko;Natsume;Koro;;;⭐⭐⭐;16/01/2026
ANMAN-0083;Anime e Manga;Vero o Falso: Osamu Tezuka era un medico chirurgo laureato.;Vero/Falso;###Vero;Falso;;;;;⭐⭐⭐⭐;16/01/2026
ANMAN-0084;Anime e Manga;In "Urusei Yatsura" (Lamù), come si chiama il promesso sposo terrestre di Lamù?;4 risposte;Mendo;Rei;###Ataru Moroboshi;Cherry;;;⭐;16/01/2026
ANMAN-0085;Anime e Manga;Quale di questi è un manga Seinen di genere storico ambientato nell'antica Cina?;6 risposte;Vinland Saga;Berserk;Vagabond;###Kingdom;Golden Kamui;The Climber;⭐⭐⭐;16/01/2026
ANMAN-0086;Anime e Manga;Chi è il creatore del manga "Yu-Gi-Oh!"?;4 risposte;###Kazuki Takahashi;Hiromu Arakawa;Tite Kubo;Akira Toriyama;;;⭐;16/01/2026
ANMAN-0087;Anime e Manga;Qual è il nome del robot gigante in "Tengen Toppa Gurren Lagann"?;4 risposte;Mazinger;###Gurren Lagann;Gunbuster;Diebuster;;;⭐;16/01/2026
ANMAN-0088;Anime e Manga;In "Your Name", come si chiama la protagonista femminile?;4 risposte;Hina;###Mitsuha Miyamizu;Akari;Maki;;;⭐⭐;16/01/2026
ANMAN-0089;Anime e Manga;Chi è l'autore del manga "20th Century Boys"?;Risposta aperta;###Naoki Urasawa;;;;;;⭐⭐⭐;16/01/2026
ANMAN-0090;Anime e Manga;Come si chiama il protagonista di "Psycho-Pass"?;4 risposte;Shogo Makishima;###Shinya Kogami;Nobuchika Ginoza;Tomomi Masaoka;;;⭐⭐⭐;16/01/2026
ANMAN-0091;Anime e Manga;Completa il titolo dell'anime di Leiji Matsumoto: "Capitan...";Frase interrotta a 2 risposte;...Futuro;###...Harlock;;;;;⭐;16/01/2026
ANMAN-0092;Anime e Manga;Quale studio ha animato "Demon Slayer"?;4 risposte;Mappa;###Ufotable;Wit Studio;Bones;;;⭐;16/01/2026
ANMAN-0093;Anime e Manga;Qual è il nome della protagonista di "Kill la Kill"?;4 risposte;Satsuki Kiryuin;Mako Mankanshoku;###Ryuko Matoi;Nonon Jakuzure;;;⭐⭐;16/01/2026
ANMAN-0094;Anime e Manga;In "Monster", qual è il nome del gemello di Anna Liebert?;4 risposte;Kenzo;###Johan;Dieter;Roberto;;;⭐⭐;16/01/2026
ANMAN-0095;Anime e Manga;Vero o Falso: Il manga "Gantz" termina con un'invasione aliena sulla Terra.;Vero/Falso;###Vero;Falso;;;;;⭐⭐⭐;16/01/2026
ANMAN-0096;Anime e Manga;Chi ha scritto "Wolf's Rain"?;4 risposte;Shinichiro Watanabe;###Keiko Nobumoto;Yoko Kanno;Dai Sato;;;⭐⭐⭐⭐;16/01/2026
ANMAN-0097;Anime e Manga;Qual è il nome del protagonista di "Hellboy" versione anime (Dororo)?;4 risposte;###Hyakkimaru;Tahomaru;Daigo;Dororo;;;⭐⭐⭐;16/01/2026
ANMAN-0098;Anime e Manga;Quale di questi manga parla di un club di astronomia?;6 risposte;Blue Giant;###Insomniacs After School;Haikyuu;Blue Lock;Kuroko no Basket;Ping Pong;⭐⭐⭐⭐;16/01/2026
ANMAN-0099;Anime e Manga;Chi è l'autore del manga "Hellsing"?;4 risposte;###Kouta Hirano;Yasuhiro Nightow;Hiroaki Samura;Toru Fujisawa;;;⭐⭐⭐;16/01/2026
ANMAN-0100;Anime e Manga;Qual è il nome del protagonista di "Vinland Saga"?;4 risposte;Askeladd;###Thorfinn;Thors;Canuto;;;⭐⭐;16/01/2026
