Numero domanda;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
19;Il Trono di Spade;Chi è il Re della Notte?;4 risposte;A) Jon Snow, B) Bran, __C) Primo Estraneo__, D) Samwell;⭐⭐⭐;14/12/2025
20;Il Trono di Spade;Chi governa su Roccia del Drago all'inizio?;4 risposte;A) Stannis, __B) Casa Baratheon__, C) Daenerys, D) Aegon;⭐⭐;14/12/2025
21;Il Trono di Spade;Chi è la sorella maggiore di Sansa?;4 risposte;A) Arya, __B) Sansa non ha sorelle maggiori__, C) Catelyn, D) Ygritte;⭐⭐;14/12/2025
22;Il Trono di Spade;Qual è il motto della Casa Greyjoy?;4 risposte;A) L'inverno sta arrivando, __B) Noi non seminiamo__, C) Fuoco e sangue, D) Crescere forti;⭐⭐;14/12/2025
23;Il Trono di Spade;Gli Estranei temono il fuoco.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
24;Il Trono di Spade;Chi è la regina di Dorne?;4 risposte;A) Ellaria Sand, __B) Nessuna regina, Dorne è governata da un principe__, C) Arianne Martell, D) Nymeria;⭐⭐⭐;14/12/2025
25;Il Trono di Spade;Qual è il nome del metalupo di Arya?;4 risposte;A) Spettro, B) Estate, __C) Nymeria__, D) Vento Grigio;⭐⭐;14/12/2025
26;Il Trono di Spade;Scrivi il nome del castello degli Stark.;Risposta aperta;__Grande Inverno__;⭐;14/12/2025
27;Il Trono di Spade;Chi è il figlio illegittimo di Robert Baratheon?;4 risposte;A) Gendry, __B) Gendry__, C) Edric Storm, D) Nessuno;⭐⭐;14/12/2025
28;Il Trono di Spade;I Lannister sono ricchi.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
29;Il Trono di Spade;Chi uccide Tywin Lannister?;4 risposte;A) Jaime, __B) Tyrion__, C) Cersei, D) Varys;⭐⭐⭐;14/12/2025
30;Il Trono di Spade;Chi è il capo dei Guardiani della Notte nella stagione 1?;4 risposte;A) Jon Snow, __B) Jeor Mormont__, C) Alliser Thorne, D) Samwell;⭐⭐;14/12/2025
31;Il Trono di Spade;Chi è la madre di Jon Snow?;4 risposte;A) Catelyn, B) Cersei, __C) Lyanna Stark__, D) Melisandre;⭐⭐⭐;14/12/2025
32;Il Trono di Spade;Qual è il motto della Casa Tyrell?;4 risposte;A) Noi non seminiamo, B) Udite il mio ruggito, __C) Crescere forti__, D) Fuoco e sangue;⭐⭐;14/12/2025
33;Il Trono di Spade;I draghi possono essere feriti da armi comuni.;Vero/Falso;__Falso__, Vero;⭐⭐;14/12/2025
34;Il Trono di Spade;Chi è il padre di Joffrey?;4 risposte;A) Robert, __B) Jaime__, C) Stannis, D) Ned;⭐⭐;14/12/2025
35;Il Trono di Spade;Qual è il nome del continente orientale?;4 risposte;A) Westeros, __B) Essos__, C) Sothoryos, D) Valyria;⭐;14/12/2025
36;Il Trono di Spade;Scrivi il nome del castello dei Lannister.;Risposta aperta;__Roccia del Leone__;⭐⭐;14/12/2025
37;Il Trono di Spade;Chi è il capo dei Bruti?;4 risposte;A) Mance Rayder, __B) Mance Rayder__, C) Tormund, D) Craster;⭐⭐;14/12/2025
38;Il Trono di Spade;I Bruti vivono oltre la Barriera.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
39;Il Trono di Spade;Chi uccide Ramsay Bolton?;4 risposte;A) Jon Snow, __B) Sansa__, C) Arya, D) Brienne;⭐⭐⭐;14/12/2025
40;Il Trono di Spade;Chi è il maestro di spada di Arya a Grande Inverno?;4 risposte;A) Jaime, __B) Syrio Forel__, C) Jaqen, D) Il Mastino;⭐⭐;14/12/2025
41;Il Trono di Spade;Chi è il fratello maggiore di Daenerys?;4 risposte;A) Rhaegar, __B) Viserys__, C) Aegon, D) Maekar;⭐⭐;14/12/2025
42;Il Trono di Spade;Gli Immacolati sono schiavi liberati.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
43;Il Trono di Spade;Chi è il capo della Flotta di Ferro?;4 risposte;A) Balon, __B) Euron__, C) Theon, D) Yara;⭐⭐;14/12/2025
44;Il Trono di Spade;Chi governa su Alto Giardino?;4 risposte;A) Lannister, __B) Tyrell__, C) Martell, D) Tully;⭐⭐;14/12/2025
45;Il Trono di Spade;Qual è il nome del metalupo di Sansa?;4 risposte;A) Nymeria, B) Spettro, __C) Lady__, D) Estate;⭐⭐;14/12/2025
46;Il Trono di Spade;Scrivi il nome della madre di Daenerys.;Risposta aperta;__Rhaella__;⭐⭐⭐;14/12/2025
47;Il Trono di Spade;Chi è il maestro dei sussurri?;4 risposte;A) Littlefinger, __B) Varys__, C) Tyrion, D) Qyburn;⭐⭐;14/12/2025
48;Il Trono di Spade;I Tyrell sono famosi per la loro ricchezza.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
49;Il Trono di Spade;Chi uccide il Re della Notte?;4 risposte;A) Jon Snow, __B) Arya__, C) Bran, D) Daenerys;⭐⭐⭐;14/12/2025
50;Il Trono di Spade;Chi è il padre di Gendry?;4 risposte;A) Ned, __B) Robert__, C) Jaime, D) Stannis;⭐⭐;14/12/2025
51;Il Trono di Spade;Chi è il capo della Casa Tully?;4 risposte;A) Ned, __B) Edmure__, C) Brynden, D) Robb;⭐⭐;14/12/2025
52;Il Trono di Spade;Gli Stark sono del Nord.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
53;Il Trono di Spade;Chi è il maestro della Zecca?;4 risposte;A) Varys, __B) Petyr Baelish__, C) Tyrion, D) Qyburn;⭐⭐;14/12/2025
54;Il Trono di Spade;Qual è il nome della spada di Jon Snow?;4 risposte;A) Pungolo, __B) Lungo Artiglio__, C) Ghiaccio, D) Alba;⭐⭐;14/12/2025
55;Il Trono di Spade;Gli Estranei possono trasformare i morti.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
56;Il Trono di Spade;Scrivi il nome della madre di Robb Stark.;Risposta aperta;__Catelyn__;⭐⭐;14/12/2025
57;Il Trono di Spade;Chi è il capo della Casa Bolton?;4 risposte;A) Ramsay, __B) Roose__, C) Walder, D) Jon;⭐⭐;14/12/2025
58;Il Trono di Spade;I Bolton scuoiavano i loro nemici.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
59;Il Trono di Spade;Chi governa su Dorne?;4 risposte;A) Tyrell, __B) Martell__, C) Lannister, D) Greyjoy;⭐⭐;14/12/2025
60;Il Trono di Spade;Chi è il padre di Arya?;4 risposte;A) Robert, __B) Ned__, C) Tywin, D) Balon;⭐;14/12/2025
61;Il Trono di Spade;Chi è il capo della Casa Mormont?;4 risposte;A) Jeor, __B) Lyanna__, C) Jorah, D) Maege;⭐⭐;14/12/2025
62;Il Trono di Spade;Gli Immacolati sono addestrati a non provare paura.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
63;Il Trono di Spade;Chi è il maestro dei maestri?;4 risposte;A) Qyburn, __B) Pycelle__, C) Luwin, D) Marwyn;⭐⭐;14/12/2025
64;Il Trono di Spade;Qual è il nome della spada di Ned Stark?;4 risposte;A) Lungo Artiglio, __B) Ghiaccio__, C) Alba, D) Pungolo;⭐⭐;14/12/2025
65;Il Trono di Spade;I Targaryen hanno sangue valyriano.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
66;Il Trono di Spade;Scrivi il nome del fratello di Cersei.;Risposta aperta;__Jaime__;⭐⭐;14/12/2025
67;Il Trono di Spade;Chi è il capo della Casa Frey?;4 risposte;A) Edmure, __B) Walder__, C) Roose, D) Tywin;⭐⭐;14/12/2025
68;Il Trono di Spade;I Frey controllano le Torri Gemelle.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
69;Il Trono di Spade;Chi è il maestro delle monete dopo Baelish?;4 risposte;A) Varys, __B) Tyrion__, C) Qyburn, D) Davos;⭐⭐;14/12/2025
70;Il Trono di Spade;Chi è il padre di Daenerys?;4 risposte;A) Viserys, __B) Aerys II__, C) Rhaegar, D) Maekar;⭐⭐;14/12/2025
71;Il Trono di Spade;Chi è il capo della Casa Arryn?;4 risposte;A) Ned, B) Jon Arryn, __C) Robin Arryn__, D) Lysa;⭐⭐;14/12/2025
72;Il Trono di Spade;Gli Arryn vivono nel Nido dell'Aquila.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
73;Il Trono di Spade;Chi è il maestro di Bran?;4 risposte;A) Ned, __B) Il Corvo a Tre Occhi__, C) Tyrion, D) Samwell;⭐⭐⭐;14/12/2025
74;Il Trono di Spade;Chi governa su Pyke?;4 risposte;A) Martell, __B) Greyjoy__, C) Tully, D) Tyrell;⭐⭐;14/12/2025
75;Il Trono di Spade;Gli Estranei possono essere uccisi con acciaio di Valyria.;Vero/Falso;__Vero__, Falso;⭐⭐⭐;14/12/2025
76;Il Trono di Spade;Scrivi il nome del fratello di Daenerys morto nella stagione 1.;Risposta aperta;__Viserys__;⭐⭐;14/12/2025
77;Il Trono di Spade;Chi governa su Roccia del Drago nella stagione 7?;4 risposte;A) Stannis, __B) Daenerys__, C) Jon Snow, D) Cersei;⭐⭐;14/12/2025
78;Il Trono di Spade;I draghi di Daenerys sono Drogon, Rhaegal e Viserion.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
79;Il Trono di Spade;Chi è il padre di Cersei?;4 risposte;A) Jaime, __B) Tywin__, C) Kevan, D) Robert;⭐⭐;14/12/2025
80;Il Trono di Spade;Chi uccide Stannis Baratheon?;4 risposte;A) Jon Snow, B) Brienne, __C) Brienne__, D) Melisandre;⭐⭐⭐;14/12/2025
81;Il Trono di Spade;Chi è il maestro della Barriera dopo Jeor Mormont?;4 risposte;A) Alliser Thorne, __B) Jon Snow__, C) Samwell, D) Edd;⭐⭐;14/12/2025
82;Il Trono di Spade;Gli Immacolati sono guidati da Verme Grigio.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
83;Il Trono di Spade;Chi governa su Nido dell'Aquila dopo Lysa Arryn?;4 risposte;A) Ned, B) Sansa, __C) Robin Arryn__, D) Baelish;⭐⭐;14/12/2025
84;Il Trono di Spade;Chi è il maestro delle leggi nella stagione 1?;4 risposte;A) Varys, __B) Renly Baratheon__, C) Baelish, D) Tyrion;⭐⭐;14/12/2025
85;Il Trono di Spade;Gli Estranei possono trasformare i neonati.;Vero/Falso;__Vero__, Falso;⭐⭐⭐;14/12/2025
86;Il Trono di Spade;Scrivi il nome del castello dei Tully.;Risposta aperta;__Delta delle Acque__;⭐⭐;14/12/2025
87;Il Trono di Spade;Chi è il capo della Casa Tyrell nella stagione 1?;4 risposte;A) Mace, __B) Mace Tyrell__, C) Olenna, D) Loras;⭐⭐;14/12/2025
88;Il Trono di Spade;I Tyrell controllano Alto Giardino.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
89;Il Trono di Spade;Chi è il comandante dei Bruti dopo Mance Rayder?;4 risposte;A) Craster, __B) Tormund__, C) Jon Snow, D) Ygritte;⭐⭐;14/12/2025
90;Il Trono di Spade;Chi è il padre di Samwell Tarly?;4 risposte;A) Jeor, __B) Randyll__, C) Kevan, D) Tywin;⭐⭐;14/12/2025
91;Il Trono di Spade;Gli Estranei possono essere fermati con vetro di drago.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
92;Il Trono di Spade;Chi governa su Grande Inverno nella stagione 8?;4 risposte;A) Jon, __B) Sansa__, C) Arya, D) Bran;⭐⭐;14/12/2025
93;Il Trono di Spade;Chi è il maestro dei sussurri nella stagione 8?;4 risposte;A) Varys, __B) Nessuno__, C) Qyburn, D) Tyrion;⭐⭐⭐;14/12/2025
94;Il Trono di Spade;Chi è il capo della Casa Baratheon alla fine della serie?;4 risposte;A) Stannis, B) Renly, __C) Gendry__, D) Robert;⭐⭐⭐;14/12/2025
95;Il Trono di Spade;Gli Stark controllano il Nord alla fine della serie.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
96;Il Trono di Spade;Scrivi il nome del drago che diventa un Estraneo.;Risposta aperta;__Viserion__;⭐⭐⭐;14/12/2025
97;Il Trono di Spade;Chi è il re dei Sette Regni alla fine della serie?;4 risposte;A) Jon, B) Sansa, __C) Bran__, D) Tyrion;⭐⭐⭐;14/12/2025
98;Il Trono di Spade;Gli Immacolati lasciano Westeros alla fine.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
99;Il Trono di Spade;Chi è il Primo Cavaliere del Re alla fine della serie?;4 risposte;A) Varys, __B) Tyrion__, C) Davos, D) Bronn;⭐⭐⭐;14/12/2025
100;Il Trono di Spade;Chi è la regina del Nord alla fine della serie?;4 risposte;A) Arya, B) Catelyn, __C) Sansa__, D) Ygritte;⭐⭐⭐;14/12/2025
