ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
BLZD00017;Blizzard;Chi è il Lich King?;4 risposte;A) Illidan Stormrage, ###B) Arthas Menethil, C) Kel'Thuzad, D) Mal'Ganis;⭐⭐;14/12/2025
BLZD00018;Blizzard;Scrivi il nome della città volante degli elfi in World of Warcraft.;Risposta aperta;###Dalaran;⭐⭐;14/12/2025
BLZD00019;Blizzard;Il motore grafico di Diablo III è lo stesso di StarCraft II.;Vero/Falso;Vero, ###Falso;⭐⭐;14/12/2025
BLZD00020;Blizzard;Quale razza di Warcraft vive nelle Steppe e usa totem?;4 risposte;A) Night Elves, ###B) Orcs, C) Humans, D) Dwarves;⭐⭐;14/12/2025
BLZD00021;Blizzard;Chi ha composto molte delle musiche iconiche di Warcraft e StarCraft?;4 risposte;A) Nobuo Uematsu, ###B) Jason Hayes (tra gli altri), C) Koji Kondo, D) Hans Zimmer;⭐⭐⭐;14/12/2025
BLZD00022;Blizzard;Quale gioco Blizzard ha introdotto il sistema di carte collezionabili digitale Hearthstone?;4 risposte;A) Diablo III, B) StarCraft II, ###C) World of Warcraft (spin-off), D) Overwatch;⭐⭐;14/12/2025
BLZD00023;Blizzard;Scrivi il nome del pianeta natale dei Protoss in StarCraft.;Risposta aperta;###Aiur;⭐⭐;14/12/2025
BLZD00024;Blizzard;Il personaggio Illidan è conosciuto come "The Betrayer".;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00025;Blizzard;Quale espansione di World of Warcraft ha introdotto il continente di Northrend?;4 risposte;A) Cataclysm, ###B) Wrath of the Lich King, C) Mists of Pandaria, D) Legion;⭐⭐;14/12/2025
BLZD00026;Blizzard;Chi è il creatore del design originale del Xel'Naga in StarCraft?;4 risposte;A) Chris Metzen, ###B) Chris Metzen (tra i principali creativi), C) David Brevik, D) Rob Pardo;⭐⭐⭐;14/12/2025
BLZD00027;Blizzard;Scrivi il nome della città natale di Thrall in Warcraft lore.;Risposta aperta;###Durotar (o Durnholde/Orgrimmar a seconda del contesto);⭐⭐;14/12/2025
BLZD00028;Blizzard;Diablo II ha introdotto il sistema di rune e runewords.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00029;Blizzard;Quale classe non è presente in Diablo III al lancio?;4 risposte;A) Barbarian, B) Wizard, C) Monk, ###D) Necromancer;⭐⭐;14/12/2025
BLZD00030;Blizzard;Scrivi il nome del leader della Casa di Medivh in Warcraft (personaggio mago chiave).;Risposta aperta;###Medivh;⭐⭐⭐;14/12/2025
BLZD00031;Blizzard;Overwatch è un gioco sviluppato da Blizzard basato su eroi e scontri a squadre.;Vero/Falso;###Vero, Falso;⭐;14/12/2025
BLZD00032;Blizzard;Quale titolo Blizzard è noto per la sua campagna single-player con missioni a obiettivi e cutscene cinematografiche?;4 risposte;A) Hearthstone, B) Overwatch, ###C) StarCraft, D) Diablo III;⭐⭐;14/12/2025
BLZD00033;Blizzard;Chi è il leader dei Reietti (Illidan) nella storia di Warcraft?;4 risposte;A) Arthas, ###B) Illidan Stormrage, C) Malfurion, D) Gul'dan;⭐⭐;14/12/2025
BLZD00034;Blizzard;Scrivi il nome della città sotterranea dei Nani in Warcraft.;Risposta aperta;###Ironforge;⭐⭐;14/12/2025
BLZD00035;Blizzard;Il sistema di ladder competitivo di StarCraft ha favorito la scena eSport in Corea del Sud.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00036;Blizzard;Quale espansione di Diablo ha introdotto la classe Necromancer in Diablo III?;4 risposte;A) Reaper of Souls, ###B) Rise of the Necromancer (DLC), C) Lord of Destruction, D) Hellfire;⭐⭐;14/12/2025
BLZD00037;Blizzard;Quale razza di StarCraft è nota per la capacità di evolversi rapidamente e assimilare biomassa?;4 risposte;A) Protoss, ###B) Zerg, C) Terran, D) Xel'Naga;⭐⭐;14/12/2025
BLZD00038;Blizzard;Scrivi il nome del comandante imperiale di Korhal in StarCraft II.;Risposta aperta;###Arcturus Mengsk;⭐⭐;14/12/2025
BLZD00039;Blizzard;Il sistema di loot in Diablo è basato su drop casuali e qualità degli oggetti.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00040;Blizzard;Quale espansione di World of Warcraft ha introdotto le isole di Pandaria?;4 risposte;A) Cataclysm, B) Wrath of the Lich King, ###C) Mists of Pandaria, D) Warlords of Draenor;⭐⭐;14/12/2025
BLZD00041;Blizzard;Chi è il demone che guida il Burning Legion in Warcraft?;4 risposte;A) Kil'jaeden, B) Archimonde, ###C) Sargeras, D) Mannoroth;⭐⭐⭐;14/12/2025
BLZD00042;Blizzard;Scrivi il nome del protagonista umano principale di StarCraft II: Wings of Liberty.;Risposta aperta;###Jim Raynor;⭐⭐;14/12/2025
BLZD00043;Blizzard;Il sistema di crafting è una meccanica centrale in Diablo III.;Vero/Falso;Vero, ###Falso;⭐⭐;14/12/2025
BLZD00044;Blizzard;Quale razza di Warcraft è famosa per la sua affinità con la natura e la luna?;4 risposte;A) Humans, ###B) Night Elves, C) Orcs, D) Undead;⭐⭐;14/12/2025
BLZD00045;Blizzard;Quale espansione di StarCraft II conclude l'arco narrativo principale?;4 risposte;A) Wings of Liberty, B) Heart of the Swarm, ###C) Legacy of the Void, D) Nova Covert Ops;⭐⭐;14/12/2025
BLZD00046;Blizzard;Scrivi il nome del signore dei demoni che appare come antagonista principale in Diablo II.;Risposta aperta;###Baal (o Diablo come fratello principale a seconda del contesto);⭐⭐;14/12/2025
BLZD00047;Blizzard;La serie Warcraft ha ispirato la creazione di World of Warcraft.;Vero/Falso;###Vero, Falso;⭐;14/12/2025
BLZD00048;Blizzard;Quale classe di World of Warcraft è nota per l'uso della magia arcana e della manipolazione del tempo?;4 risposte;A) Warrior, ###B) Mage, C) Rogue, D) Paladin;⭐⭐;14/12/2025
BLZD00049;Blizzard;Chi è il creatore della compagnia Blizzard che ha ricoperto il ruolo di CEO per molti anni?;4 risposte;A) Chris Metzen, ###B) Mike Morhaime, C) Rob Pardo, D) Frank Pearce;⭐⭐;14/12/2025
BLZD00050;Blizzard;Scrivi il nome del regno umano principale in World of Warcraft classico.;Risposta aperta;###Stormwind;⭐⭐;14/12/2025
BLZD00051;Blizzard;Il sistema di abilità in StarCraft è legato alle unità e non ai livelli dei giocatori.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00052;Blizzard;Quale espansione di Diablo II ha introdotto Baal come boss finale?;4 risposte;A) Lord of Destruction, ###B) Lord of Destruction, C) Hellfire, D) Reaper of Souls;⭐⭐;14/12/2025
BLZD00053;Blizzard;Scrivi il nome del pianeta natale dei Terran in StarCraft lore.;Risposta aperta;###Korhal (colonia umana chiave) ;⭐⭐;14/12/2025
BLZD00054;Blizzard;Quale personaggio di Warcraft è noto come "The Betrayer"?;4 risposte;A) Arthas, ###B) Illidan Stormrage, C) Gul'dan, D) Varian Wrynn;⭐⭐;14/12/2025
BLZD00055;Blizzard;La modalità "Adventure" è una caratteristica di Hearthstone, non di Diablo.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00056;Blizzard;Quale unità Protoss è nota per il suo attacco a distanza e scudo energetico?;4 risposte;A) Zealot, ###B) Stalker, C) Hydralisk, D) Marine;⭐⭐;14/12/2025
BLZD00057;Blizzard;Scrivi il nome del demone che funge da signore del terrore in Diablo III (Atto finale).;Risposta aperta;###Diablo (Prime Evil/Prime);⭐⭐;14/12/2025
BLZD00058;Blizzard;Quale espansione di World of Warcraft ha cambiato radicalmente il mondo con cataclismi?;4 risposte;A) Wrath of the Lich King, ###B) Cataclysm, C) Mists of Pandaria, D) Legion;⭐⭐;14/12/2025
BLZD00059;Blizzard;Chi è il capo dei Reietti e antagonista in The Burning Crusade?;4 risposte;A) Arthas, B) Illidan, ###C) Illidan Stormrage, D) Gul'dan;⭐⭐;14/12/2025
BLZD00060;Blizzard;Scrivi il nome della città volante che appare in più espansioni di WoW.;Risposta aperta;###Dalaran;⭐⭐;14/12/2025
BLZD00061;Blizzard;Il sistema di "talenti" è stato rimosso e reintrodotto più volte in WoW.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00062;Blizzard;Quale razza di StarCraft utilizza psionicità e tecnologia avanzata?;4 risposte;A) Zerg, ###B) Protoss, C) Terran, D) Hydralisk;⭐⭐;14/12/2025
BLZD00063;Blizzard;Scrivi il nome del creatore del personaggio Arthas nella lore di Warcraft.;Risposta aperta;###Chris Metzen (tra i principali autori della lore);⭐⭐⭐;14/12/2025
BLZD00064;Blizzard;Quale gioco Blizzard ha una modalità "Hero" con abilità uniche per ogni personaggio?;4 risposte;A) Diablo II, B) StarCraft, ###C) Overwatch, D) Hearthstone;⭐⭐;14/12/2025
BLZD00065;Blizzard;La serie Diablo è ambientata nel mondo di Sanctuary.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00066;Blizzard;Quale classe di Diablo II usa frecce e abilità a distanza?;4 risposte;A) Paladin, ###B) Amazon, C) Barbarian, D) Sorceress;⭐⭐;14/12/2025
BLZD00067;Blizzard;Scrivi il nome della fazione umana rivale degli orchi in Warcraft originale.;Risposta aperta;###Stormwind/Alliance;⭐⭐;14/12/2025
BLZD00068;Blizzard;Quale espansione di StarCraft II introduce la campagna Protoss?;4 risposte;A) Wings of Liberty, B) Heart of the Swarm, ###C) Legacy of the Void, D) Nova Covert Ops;⭐⭐;14/12/2025
BLZD00069;Blizzard;Il sistema di "seasons" è una caratteristica di Diablo III per il gioco endgame.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00070;Blizzard;Quale personaggio è noto per la frase "For the Horde!"?;4 risposte;A) Jaina Proudmoore, B) Arthas, ###C) Thrall (e altri orchi), D) Uther;⭐⭐;14/12/2025
BLZD00071;Blizzard;Scrivi il nome della città natale di Jaina Proudmoore.;Risposta aperta;###Kul Tiras (origine) o Lordaeron/Stormwind a seconda del contesto;⭐⭐;14/12/2025
BLZD00072;Blizzard;Quale gioco Blizzard ha introdotto il concetto di "hero cards" in un gioco di carte digitale?;4 risposte;A) Magic Online, ###B) Hearthstone, C) Gwent, D) Legends of Runeterra;⭐⭐;14/12/2025
BLZD00073;Blizzard;La modalità cooperativa "Co-op" è presente in StarCraft II tramite missioni personalizzate.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00074;Blizzard;Quale classe di Diablo III è specializzata in magie oscure e maledizioni?;4 risposte;A) Barbarian, ###B) Witch Doctor, C) Crusader, D) Monk;⭐⭐;14/12/2025
BLZD00075;Blizzard;Scrivi il nome del pianeta dove si svolge la maggior parte della campagna di StarCraft originale.;Risposta aperta;###Mar Sara (tra i pianeti chiave) ;⭐⭐;14/12/2025
BLZD00076;Blizzard;Quale espansione di World of Warcraft ha introdotto i Death Knights come prima classe eroica?;4 risposte;A) Cataclysm, ###B) Wrath of the Lich King, C) The Burning Crusade, D) Legion;⭐⭐;14/12/2025
BLZD00077;Blizzard;Il sistema di "auction house" è stato introdotto in Diablo III al lancio.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00078;Blizzard;Quale unità Terran è nota per la sua abilità di volo e attacco a distanza?;4 risposte;A) Marine, B) Siege Tank, ###C) Banshee, D) Zergling;⭐⭐;14/12/2025
BLZD00079;Blizzard;Scrivi il nome del demone che funge da signore in Diablo I.;Risposta aperta;###Diablo;⭐⭐;14/12/2025
BLZD00080;Blizzard;Quale espansione di Warcraft III ha introdotto la campagna degli Elfi della Notte?;4 risposte;A) Reign of Chaos, ###B) Reign of Chaos (campagne multiple), C) The Frozen Throne, D) World Editor;⭐⭐;14/12/2025
BLZD00081;Blizzard;La community competitiva di StarCraft II è ancora attiva a livello internazionale.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00082;Blizzard;Quale classe di World of Warcraft usa la magia sacra e cura gli alleati?;4 risposte;A) Rogue, ###B) Priest, C) Warrior, D) Hunter;⭐⭐;14/12/2025
BLZD00083;Blizzard;Scrivi il nome del creatore della serie Diablo che ha lasciato Blizzard per fondare un altro studio.;Risposta aperta;###David Brevik (fondò Flagship Studios);⭐⭐⭐;14/12/2025
BLZD00084;Blizzard;Quale gioco Blizzard è noto per le sue cinematics in CGI di alta qualità?;4 risposte;A) Hearthstone, B) Diablo II, ###C) World of Warcraft/StarCraft/Diablo (tutti hanno cinematiche), D) Overwatch;⭐⭐;14/12/2025
BLZD00085;Blizzard;Il termine "aggro" è usato comunemente in MMO come WoW per indicare l'attenzione dei nemici.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00086;Blizzard;Quale razza di Warcraft è famosa per la sua abilità nella forgia e nella metallurgia?;4 risposte;A) Night Elves, ###B) Dwarves, C) Trolls, D) Gnomes;⭐⭐;14/12/2025
BLZD00087;Blizzard;Scrivi il nome del protagonista principale di Diablo III che affronta il Prime Evil.;Risposta aperta;###The Nephalem (player character) o specifiche classi come Barbarian;⭐⭐;14/12/2025
BLZD00088;Blizzard;Quale espansione di World of Warcraft ha introdotto le isole di Kul Tiras e Zandalar come hub principali?;4 risposte;A) Battle for Azeroth, ###B) Battle for Azeroth, C) Legion, D) Shadowlands;⭐⭐;14/12/2025
BLZD00089;Blizzard;La modalità "Heroic" è una difficoltà presente in molte incursioni di WoW.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00090;Blizzard;Quale unità Zerg è nota per la sua rapidità e numero elevato?;4 risposte;A) Hydralisk, B) Ultralisk, ###C) Zergling, D) Mutalisk;⭐⭐;14/12/2025
BLZD00091;Blizzard;Scrivi il nome del leader dei Reietti che combatte contro la Legione Infuocata.;Risposta aperta;###Illidan Stormrage;⭐⭐;14/12/2025
BLZD00092;Blizzard;Quale gioco Blizzard ha introdotto il concetto di "loot 2.0" per migliorare l'esperienza di bottino?;4 risposte;A) StarCraft II, ###B) Diablo III (patch e aggiornamenti), C) World of Warcraft, D) Hearthstone;⭐⭐;14/12/2025
BLZD00093;Blizzard;Il sistema di "guild" è centrale per l'endgame di World of Warcraft.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00094;Blizzard;Quale classe di Diablo II usa magie elementali e incantesimi?;4 risposte;A) Amazon, ###B) Sorceress, C) Paladin, D) Barbarian;⭐⭐;14/12/2025
BLZD00095;Blizzard;Scrivi il nome del creatore della musica di Diablo II (compositore principale).;Risposta aperta;###Matt Uelmen;⭐⭐⭐;14/12/2025
BLZD00096;Blizzard;Quale espansione di StarCraft II ha come antagonista principale Sarah Kerrigan?;4 risposte;A) Wings of Liberty, ###B) Heart of the Swarm, C) Legacy of the Void, D) Nova Covert Ops;⭐⭐;14/12/2025
BLZD00097;Blizzard;La community di modding ha creato mappe personalizzate per Warcraft III che hanno dato origine a nuovi generi.;Vero/Falso;###Vero, Falso;⭐⭐;14/12/2025
BLZD00098;Blizzard;Quale unità Terran può trasformarsi in modalità assedio?;4 risposte;A) Marine, ###B) Siege Tank, C) Thor, D) Viking;⭐⭐;14/12/2025
BLZD00099;Blizzard;Scrivi il nome del regno demoniaco che minaccia Sanctuary in Diablo lore.;Risposta aperta;###The Burning Hells (o Hell);⭐⭐;14/12/2025
BLZD00100;Blizzard;Quale titolo Blizzard ha avuto un importante rilancio con una versione "Classic" per i fan nostalgici?;4 risposte;A) Diablo II, B) StarCraft II, ###C) World of Warcraft Classic, D) Hearthstone;⭐⭐;14/12/2025
