Numero domanda;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
HRPT00033;Harry Potter;Qual è la casa di Cedric Diggory?;4 risposte;A) Grifondoro, B) Serpeverde, C) Corvonero, @D) Tassorosso;⭐⭐;14/12/2025
HRPT00034;Harry Potter;Chi è il padrone della Bacchetta di Sambuco alla fine?;4 risposte;A) Silente, B) Voldemort, @C) Harry, D) Draco;⭐⭐⭐;14/12/2025
HRPT00035;Harry Potter;Qual è il nome del villaggio vicino a Hogwarts?;4 risposte;A) Godric's Hollow, @B) Hogsmeade, C) Ottery St. Catchpole, D) Little Whinging;⭐;14/12/2025
HRPT00036;Harry Potter;Scrivi il nome del serpente ucciso da Harry nella Camera dei Segreti.;Risposta aperta;@Basilisco;⭐⭐;14/12/2025
HRPT00037;Harry Potter;Chi è il professore di Difesa contro le Arti Oscure nel primo anno?;4 risposte;A) Piton, B) Lockhart, @C) Raptor, D) Moody;⭐⭐;14/12/2025
HRPT00038;Harry Potter;I Dissennatori possono essere respinti con l'Expecto Patronum.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00039;Harry Potter;Chi è il padre di Ron?;4 risposte;A) Percy, B) Fred, @C) Arthur, D) Bill;⭐;14/12/2025
HRPT00040;Harry Potter;Chi è il preside di Beauxbatons?;4 risposte;A) Karkaroff, @B) Madame Maxime, C) Silente, D) Bagman;⭐⭐;14/12/2025
HRPT00041;Harry Potter;Chi è il proprietario della Giraffa a Tre Teste?;4 risposte;A) Hagrid, @B) Hagrid, C) Silente, D) Piton;⭐⭐;14/12/2025
HRPT00042;Harry Potter;La Firebolt è una scopa da corsa.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00043;Harry Potter;Qual è il nome del Ministero della Magia?;4 risposte;A) Ministero Inglese, @B) Ministero della Magia, C) Consiglio Magico, D) Dipartimento Magico;⭐;14/12/2025
HRPT00044;Harry Potter;Chi è il Ministro della Magia nel quinto libro?;4 risposte;A) Scrimgeour, @B) Cornelius Caramell, C) Thicknesse, D) Fudge;⭐⭐;14/12/2025
HRPT00045;Harry Potter;Qual è il nome del Patronus di Hermione?;4 risposte;A) Cervo, B) Lupo, @C) Lontra, D) Gatto;⭐⭐;14/12/2025
HRPT00046;Harry Potter;Scrivi il nome della sorella di Ron.;Risposta aperta;@Ginny;⭐;14/12/2025
HRPT00047;Harry Potter;Chi è il Mangiamorte che tortura Neville?;4 risposte;A) Lucius, @B) Bellatrix, C) Greyback, D) Dolohov;⭐⭐⭐;14/12/2025
HRPT00048;Harry Potter;I Mangiamorte seguono Voldemort.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00049;Harry Potter;Chi è il preside di Durmstrang?;4 risposte;A) Maxime, @B) Igor Karkaroff, C) Silente, D) Piton;⭐⭐;14/12/2025
HRPT00050;Harry Potter;Qual è il nome del Patronus di Ron?;4 risposte;A) Cervo, B) Cane, @C) Jack Russell Terrier, D) Lupo;⭐⭐;14/12/2025
HRPT00051;Harry Potter;Chi è il capo della Casa Trelawney?;4 risposte;A) Piton, B) McGranitt, @C) Sibilla Trelawney, D) Lumacorno;⭐⭐;14/12/2025
HRPT00052;Harry Potter;Gli studenti di Hogwarts usano bacchette magiche.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00053;Harry Potter;Chi è il maestro della Zecca Magica?;4 risposte;A) Caramell, B) Piton, @C) Arthur Weasley, D) Percy Weasley;⭐⭐;14/12/2025
HRPT00054;Harry Potter;Qual è il nome della spada di Godric Grifondoro?;4 risposte;A) Alba, B) Lancia di Grifondoro, @C) Spada di Grifondoro, D) Lame d’Argento;⭐⭐;14/12/2025
HRPT00055;Harry Potter;I Mangiamorte usano il Marchio Nero.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
HRPT00056;Harry Potter;Scrivi il nome del fratello di Sirius Black.;Risposta aperta;@Regulus Black;⭐⭐⭐;14/12/2025
HRPT00057;Harry Potter;Chi è il professore di Erbologia?;4 risposte;A) Piton, B) McGranitt, @C) Sprite, D) Vitious;⭐⭐;14/12/2025
HRPT00058;Harry Potter;I Dissennatori sorvegliano Azkaban.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00059;Harry Potter;Chi è il preside di Hogwarts nel secondo libro?;4 risposte;A) Piton, @B) Silente, C) Lumacorno, D) Caramell;⭐;14/12/2025
HRPT00060;Harry Potter;Chi è il padre di Draco Malfoy?;4 risposte;A) Amos, @B) Lucius, C) Xenophilius, D) Arthur;⭐;14/12/2025
HRPT00061;Harry Potter;Chi è il professore di Cura delle Creature Magiche?;4 risposte;A) Piton, B) Silente, @C) Hagrid, D) Vitious;⭐⭐;14/12/2025
HRPT00062;Harry Potter;La Firebolt è una scopa molto veloce.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00063;Harry Potter;Chi è il preside di Durmstrang?;4 risposte;A) Maxime, @B) Karkaroff, C) Silente, D) Piton;⭐⭐;14/12/2025
HRPT00064;Harry Potter;Qual è il nome del Patronus di Ginny?;4 risposte;A) Cervo, B) Cavallo, @C) Cavallo, D) Lince;⭐⭐;14/12/2025
HRPT00065;Harry Potter;I Dissennatori possono essere respinti con un Patronus.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00066;Harry Potter;Scrivi il nome del fratello maggiore di Ron.;Risposta aperta;@Bill Weasley;⭐⭐;14/12/2025
HRPT00067;Harry Potter;Chi è il professore di Trasfigurazione?;4 risposte;A) Piton, @B) McGranitt, C) Silente, D) Vitious;⭐⭐;14/12/2025
HRPT00068;Harry Potter;I Weasley hanno una Ford Anglia volante.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00069;Harry Potter;Chi è il proprietario della Testa di Porco?;4 risposte;A) Silente, @B) Aberforth Silente, C) Hagrid, D) Piton;⭐⭐;14/12/2025
HRPT00070;Harry Potter;Qual è il nome del Patronus di Tonks?;4 risposte;A) Lupo, B) Cervo, @C) Lupo, D) Cavallo;⭐⭐⭐;14/12/2025
HRPT00071;Harry Potter;Chi è il preside di Hogwarts nel quarto libro?;4 risposte;A) Piton, @B) Silente, C) Caramell, D) Moody;⭐;14/12/2025
HRPT00072;Harry Potter;La Camera dei Segreti contiene un Basilisco.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
HRPT00073;Harry Potter;Chi è il professore di Divinazione?;4 risposte;A) Piton, B) McGranitt, @C) Trelawney, D) Vitious;⭐⭐;14/12/2025
HRPT00074;Harry Potter;Qual è la casa di Cho Chang?;4 risposte;A) Grifondoro, B) Serpeverde, @C) Corvonero, D) Tassorosso;⭐⭐;14/12/2025
HRPT00075;Harry Potter;I Mangiamorte usano maschere.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00076;Harry Potter;Scrivi il nome del drago di Hagrid.;Risposta aperta;@Norberto (o Norberta);⭐⭐;14/12/2025
HRPT00077;Harry Potter;Chi è il professore di Difesa contro le Arti Oscure nel terzo libro?;4 risposte;A) Piton, @B) Lupin, C) Lockhart, D) Moody;⭐⭐;14/12/2025
HRPT00078;Harry Potter;I Dissennatori possono baciare una persona.;Vero/Falso;@Vero, Falso;⭐⭐⭐;14/12/2025
HRPT00079;Harry Potter;Chi è il preside di Beauxbatons?;4 risposte;A) Silente, @B) Madame Maxime, C) Karkaroff, D) Piton;⭐⭐;14/12/2025
HRPT00080;Harry Potter;Qual è il nome del Patronus di Silente?;4 risposte;A) Cervo, B) Lupo, @C) Fenice, D) Gatto;⭐⭐⭐;14/12/2025
HRPT00081;Harry Potter;Chi è il professore di Pozioni nel sesto libro?;4 risposte;A) Piton, @B) Lumacorno, C) McGranitt, D) Silente;⭐⭐;14/12/2025
HRPT00082;Harry Potter;La Firebolt è più veloce della Nimbus 2000.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00083;Harry Potter;Chi è il preside di Hogwarts nel quinto libro?;4 risposte;A) Piton, @B) Silente, C) Umbridge, D) Caramell;⭐⭐;14/12/2025
HRPT00084;Harry Potter;Qual è il nome del Patronus di Luna Lovegood?;4 risposte;A) Cervo, @B) Lepre, C) Lupo, D) Cavallo;⭐⭐;14/12/2025
HRPT00085;Harry Potter;I Mangiamorte seguono Voldemort.;Vero/Falso;@Vero, Falso;⭐;14/12/2025
HRPT00086;Harry Potter;Scrivi il nome del fratello di Albus Silente.;Risposta aperta;@Aberforth;⭐⭐;14/12/2025
HRPT00087;Harry Potter;Chi è il professore di Aritmanzia?;4 risposte;A) Piton, B) McGranitt, @C) Vector, D) Vitious;⭐⭐⭐;14/12/2025
HRPT00088;Harry Potter;I Dissennatori possono essere respinti con un Patronus corporeo.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
HRPT00089;Harry Potter;Chi è il preside di Hogwarts nel settimo libro?;4 risposte;A) Silente, @B) Piton, C) Carrow, D) McGranitt;⭐⭐⭐;14/12/2025
HRPT00090;Harry Potter;Qual è il nome del Patronus di Snape?;4 risposte;A) Cervo, @B) Cerva, C) Lupo, D) Gatto;⭐⭐⭐;14/12/2025
HRPT00091;Harry Potter;Gli Horcrux sono oggetti contenenti frammenti d'anima.;Vero/Falso;@Vero, Falso;⭐⭐⭐;14/12/2025
HRPT00092;Harry Potter;Chi distrugge il diario di Tom Riddle?;4 risposte;A) Harry, @B) Harry con il dente del Basilisco, C) Ron, D) Ginny;⭐⭐⭐;14/12/2025
HRPT00093;Harry Potter;Chi è il preside di Hogwarts alla fine della saga?;4 risposte;A) Silente, B) Piton, @C) McGranitt, D) Caramell;⭐⭐;14/12/2025
HRPT00094;Harry Potter;Qual è il nome del Patronus di Ginny Weasley?;4 risposte;A) Cervo, B) Lupo, @C) Cavallo, D) Gatto;⭐⭐;14/12/2025
HRPT00095;Harry Potter;I Mangiamorte usano il Marchio Nero per evocare Voldemort.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
HRPT00096;Harry Potter;Scrivi il nome del serpente di Voldemort.;Risposta aperta;@Nagini;⭐⭐;14/12/2025
HRPT00097;Harry Potter;Chi è il preside di Hogwarts nel primo libro?;4 risposte;A) Piton, @B) Silente, C) McGranitt, D) Lumacorno;⭐;14/12/2025
HRPT00098;Harry Potter;La Burrobirra è leggermente alcolica.;Vero/Falso;@Vero, Falso;⭐⭐;14/12/2025
HRPT00099;Harry Potter;Chi è il padrone della Bacchetta di Sambuco alla fine?;4 risposte;A) Silente, B) Voldemort, @C) Harry, D) Draco;⭐⭐⭐;14/12/2025
HRPT00100;Harry Potter;Chi è il prescelto secondo la profezia?;4 risposte;A) Neville, @B) Harry, C) Draco, D) Cedric;⭐⭐;14/12/2025
