ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CART90033;Cartoni '90-'00;Scrivi il nome del protagonista di "Cowboy Bebop" che suona spesso il jazz.;Risposta aperta;###Spike Spiegel;⭐⭐⭐;16/01/2026
CART90034;Cartoni '90-'00;Quale serie presenta un robot chiamato "Astro Boy" (versioni moderne)?;4 risposte;A) Doraemon, B) Speed Racer, C) Captain Harlock, ###D) Astro Boy;⭐⭐;16/01/2026
CART90035;Cartoni '90-'00;La serie "Ren & Stimpy" è nota per il suo umorismo grottesco e surreale.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90036;Cartoni '90-'00;Quale serie presenta il personaggio "Tommy" tra neonati curiosi?;4 risposte;A) Rugrats, B) Hey Arnold!, C) Doug, ###D) Rugrats;⭐⭐;16/01/2026
CART90037;Cartoni '90-'00;Scrivi il nome del creatore di "Neon Genesis Evangelion".;Risposta aperta;###Hideaki Anno;⭐⭐⭐;16/01/2026
CART90038;Cartoni '90-'00;Quale serie ha come protagonisti due fratelli che diventano detective (anime)?;4 risposte;A) Detective Conan, ###B) Detective Conan (Shinichi/Conan), C) One Piece, D) Naruto;⭐⭐;16/01/2026
CART90039;Cartoni '90-'00;La serie "The Simpsons" ha debuttato prima degli anni '90 ma è molto influente in quel decennio.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CART90040;Cartoni '90-'00;Quale serie presenta il personaggio "Goku" in molte saghe?;4 risposte;A) Naruto, B) One Piece, ###C) Dragon Ball Z, D) Bleach;⭐⭐;16/01/2026
CART90041;Cartoni '90-'00;Scrivi il nome del protagonista di "Digimon Adventure" (bambino leader del gruppo).;Risposta aperta;###Tai (Taichi Yagami);⭐⭐;16/01/2026
CART90042;Cartoni '90-'00;Quale serie presenta il personaggio "Bubbles" come una delle Powerpuff Girls?;4 risposte;A) Dexter's Laboratory, B) Ed, Edd n Eddy, ###C) The Powerpuff Girls, D) Johnny Bravo;⭐⭐;16/01/2026
CART90043;Cartoni '90-'00;La serie "Batman Beyond" è ambientata in un futuro rispetto a Batman classico.;Vero/Falso;###Vero, Falso;⭐⭐⭐;16/01/2026
CART90044;Cartoni '90-'00;Quale serie presenta il protagonista "Naruto Uzumaki"?;4 risposte;A) One Piece, ###B) Naruto, C) Bleach, D) Rurouni Kenshin;⭐⭐;16/01/2026
CART90045;Cartoni '90-'00;Scrivi il nome del creatore di "South Park".;Risposta aperta;###Trey Parker;⭐⭐;16/01/2026
CART90046;Cartoni '90-'00;Quale serie presenta il personaggio "SpongeBob SquarePants" (debutto 1999)?;4 risposte;A) Rugrats, B) Hey Arnold!, C) Rocko's Modern Life, ###D) SpongeBob SquarePants;⭐⭐;16/01/2026
CART90047;Cartoni '90-'00;La serie "Futurama" ha debuttato nel 1999.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90048;Cartoni '90-'00;Quale serie presenta il personaggio "Vash the Stampede"?;4 risposte;A) Cowboy Bebop, B) Neon Genesis Evangelion, ###C) Trigun, D) Berserk;⭐⭐⭐;16/01/2026
CART90049;Cartoni '90-'00;Scrivi il nome del protagonista di "One Piece".;Risposta aperta;###Monkey D. Luffy;⭐⭐;16/01/2026
CART90050;Cartoni '90-'00;Quale serie presenta il personaggio "Ash" che viaggia con Pikachu?;4 risposte;A) Digimon, B) Yu-Gi-Oh!, ###C) Pokémon, D) Beyblade;⭐⭐;16/01/2026
CART90051;Cartoni '90-'00;La serie "Cow and Chicken" è nota per umorismo assurdo e surreale.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CART90052;Cartoni '90-'00;Quale serie presenta il personaggio "Sailor Moon" come guerriera della luna?;4 risposte;A) Cardcaptor Sakura, ###B) Sailor Moon, C) Magic Knight Rayearth, D) Revolutionary Girl Utena;⭐⭐;16/01/2026
CART90053;Cartoni '90-'00;Scrivi il nome del creatore di "Dragon Ball Z".;Risposta aperta;###Akira Toriyama;⭐⭐;16/01/2026
CART90054;Cartoni '90-'00;Quale serie presenta il personaggio "Gon Freecss"?;4 risposte;A) Naruto, B) One Piece, ###C) Hunter x Hunter, D) Bleach;⭐⭐⭐;16/01/2026
CART90055;Cartoni '90-'00;La serie "Rocko's Modern Life" è andata in onda negli anni '90 su Nickelodeon.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90056;Cartoni '90-'00;Quale serie presenta il personaggio "Tommy Pickles" e la sua banda di neonati?;4 risposte;A) Doug, B) Hey Arnold!, ###C) Rugrats, D) Rocket Power;⭐⭐;16/01/2026
CART90057;Cartoni '90-'00;Scrivi il nome del protagonista di "Hunter x Hunter" creato negli anni '90.;Risposta aperta;###Gon Freecss;⭐⭐⭐;16/01/2026
CART90058;Cartoni '90-'00;Quale serie presenta il personaggio "Spike Spiegel" come cacciatore di taglie spaziale?;4 risposte;A) Trigun, B) Cowboy Bebop, ###C) Cowboy Bebop, D) Outlaw Star;⭐⭐;16/01/2026
CART90059;Cartoni '90-'00;La serie "The Powerpuff Girls" ha debuttato nel 1998.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CART90060;Cartoni '90-'00;Quale serie presenta il personaggio "Edward Elric"?;4 risposte;A) Fullmetal Alchemist (2003), ###B) (Fullmetal Alchemist 2003 è post-2000), C) Naruto, D) One Piece;⭐⭐⭐;16/01/2026
CART90061;Cartoni '90-'00;Scrivi il nome del protagonista di "Yu-Gi-Oh!" nella versione originale.;Risposta aperta;###Yugi Mutou;⭐⭐;16/01/2026
CART90062;Cartoni '90-'00;Quale serie presenta il personaggio "Beyblade" come franchise di giocattoli e anime?;4 risposte;A) Pokémon, B) Digimon, C) Yu-Gi-Oh!, ###D) Beyblade;⭐⭐;16/01/2026
CART90063;Cartoni '90-'00;La serie "Neon Genesis Evangelion" ha influenzato profondamente l'animazione mecha.;Vero/Falso;###Vero, Falso;⭐⭐⭐;16/01/2026
CART90064;Cartoni '90-'00;Quale serie presenta il personaggio "Shinji Ikari"?;4 risposte;A) Cowboy Bebop, ###B) Neon Genesis Evangelion, C) Trigun, D) Berserk;⭐⭐;16/01/2026
CART90065;Cartoni '90-'00;Scrivi il nome del creatore di "Cowboy Bebop".;Risposta aperta;###Shinichirō Watanabe;⭐⭐;16/01/2026
CART90066;Cartoni '90-'00;Quale serie presenta il personaggio "SpongeBob" che lavora al Krusty Krab?;4 risposte;A) Hey Arnold!, B) Rugrats, C) Rocko's Modern Life, ###D) SpongeBob SquarePants;⭐⭐;16/01/2026
CART90067;Cartoni '90-'00;La serie "Ed, Edd n Eddy" è stata creata da Danny Antonucci.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CART90068;Cartoni '90-'00;Quale serie presenta il personaggio "Ash" con il suo Pikachu come mascotte?;4 risposte;A) Digimon, B) Yu-Gi-Oh!, ###C) Pokémon, D) Beyblade;⭐⭐;16/01/2026
CART90069;Cartoni '90-'00;Scrivi il nome del protagonista di "Neon Genesis Evangelion".;Risposta aperta;###Shinji Ikari;⭐⭐⭐;16/01/2026
CART90070;Cartoni '90-'00;Quale serie presenta il personaggio "Goku" che usa il Kamehameha?;4 risposte;A) Naruto, B) One Piece, ###C) Dragon Ball Z, D) Bleach;⭐⭐;16/01/2026
CART90071;Cartoni '90-'00;La serie "Sailor Moon" ha contribuito alla popolarità degli anime shojo in Occidente.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90072;Cartoni '90-'00;Quale serie presenta il personaggio "Vash" con una taglia sulla sua testa?;4 risposte;A) Cowboy Bebop, B) Neon Genesis Evangelion, ###C) Trigun, D) Berserk;⭐⭐;16/01/2026
CART90073;Cartoni '90-'00;Scrivi il nome del protagonista di "Sailor Moon" in italiano.;Risposta aperta;###Serena (o Usagi);⭐⭐;16/01/2026
CART90074;Cartoni '90-'00;Quale serie presenta il personaggio "Naruto Uzumaki" che sogna di diventare Hokage?;4 risposte;A) One Piece, ###B) Naruto, C) Bleach, D) Hunter x Hunter;⭐⭐⭐;16/01/2026
CART90075;Cartoni '90-'00;La serie "Pokémon" ha generato un enorme franchise di giochi e merchandising.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90076;Cartoni '90-'00;Quale serie presenta il personaggio "Pikachu" come Pokémon elettrico?;4 risposte;A) Digimon, B) Yu-Gi-Oh!, C) Beyblade, ###D) Pokémon;⭐⭐;16/01/2026
CART90077;Cartoni '90-'00;Scrivi il nome del creatore di "SpongeBob SquarePants".;Risposta aperta;###Stephen Hillenburg;⭐⭐;16/01/2026
CART90078;Cartoni '90-'00;Quale serie presenta il personaggio "Ash" che parte da Pallet Town?;4 risposte;A) Digimon, ###B) Pokémon, C) Yu-Gi-Oh!, D) Beyblade;⭐⭐;16/01/2026
CART90079;Cartoni '90-'00;La serie "Cowboy Bebop" mescola jazz, noir e fantascienza.;Vero/Falso;###Vero, Falso;⭐⭐⭐;16/01/2026
CART90080;Cartoni '90-'00;Quale serie presenta il personaggio "Luffy" che vuole diventare Re dei Pirati?;4 risposte;A) Naruto, B) Bleach, ###C) One Piece, D) Hunter x Hunter;⭐⭐;16/01/2026
CART90081;Cartoni '90-'00;Scrivi il nome del protagonista di "Dragon Ball Z" che è un Saiyan.;Risposta aperta;###Goku;⭐⭐;16/01/2026
CART90082;Cartoni '90-'00;Quale serie presenta il personaggio "Conan Edogawa" (Detective Conan)?;4 risposte;A) One Piece, B) Naruto, ###C) Detective Conan, D) Yu-Gi-Oh!;⭐⭐;16/01/2026
CART90083;Cartoni '90-'00;La serie "Animaniacs" include segmenti musicali e parodie culturali.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90084;Cartoni '90-'00;Quale serie presenta il personaggio "SpongeBob" creato da Stephen Hillenburg?;4 risposte;A) Rugrats, B) Hey Arnold!, C) Rocko's Modern Life, ###D) SpongeBob SquarePants;⭐⭐;16/01/2026
CART90085;Cartoni '90-'00;Scrivi il nome del protagonista di "Yu-Gi-Oh!" che duella con carte; risposta aperta;###Yugi Mutou;⭐⭐;16/01/2026
CART90086;Cartoni '90-'00;Quale serie presenta il personaggio "Spike Spiegel" che lavora con la crew del Bebop?;4 risposte;A) Trigun, ###B) Cowboy Bebop, C) Outlaw Star, D) Samurai Champloo;⭐⭐;16/01/2026
CART90087;Cartoni '90-'00;La serie "Rocko's Modern Life" è stata creata da Joe Murray.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CART90088;Cartoni '90-'00;Quale serie presenta il personaggio "Esteban" alla ricerca delle città d'oro?;4 risposte;A) The Adventures of Tintin, ###B) The Mysterious Cities of Gold, C) The Rose of Versailles, D) The Little Prince;⭐⭐;16/01/2026
CART90089;Cartoni '90-'00;Scrivi il nome del protagonista di "One Piece".;Risposta aperta;###Monkey D. Luffy;⭐⭐;16/01/2026
CART90090;Cartoni '90-'00;Quale serie presenta il personaggio "Gon" che cerca suo padre?;4 risposte;A) Naruto, ###B) Hunter x Hunter, C) One Piece, D) Bleach;⭐⭐⭐;16/01/2026
CART90091;Cartoni '90-'00;La serie "Sailor Moon" ha avuto un forte impatto sul pubblico femminile negli anni '90.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90092;Cartoni '90-'00;Quale serie presenta il personaggio "Pikachu" come compagno fedele di Ash?;4 risposte;A) Digimon, B) Yu-Gi-Oh!, ###C) Pokémon, D) Beyblade;⭐⭐;16/01/2026
CART90093;Cartoni '90-'00;Scrivi il nome del creatore di "Neon Genesis Evangelion".;Risposta aperta;###Hideaki Anno;⭐⭐⭐;16/01/2026
CART90094;Cartoni '90-'00;Quale serie presenta il personaggio "Naruto" con la volpe sigillata dentro di lui?;4 risposte;A) One Piece, ###B) Naruto, C) Bleach, D) Hunter x Hunter;⭐⭐;16/01/2026
CART90095;Cartoni '90-'00;La serie "Pokémon" ha debuttato in Giappone nel 1997 e in molti paesi successivamente.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART90096;Cartoni '90-'00;Quale serie presenta il personaggio "Ash" che vuole diventare Maestro Pokémon?;4 risposte;A) Digimon, B) Yu-Gi-Oh!, ###C) Pokémon, D) Beyblade;⭐⭐;16/01/2026
CART90097;Cartoni '90-'00;Scrivi il nome del protagonista di "Detective Conan" (nome originale).;Risposta aperta;###Shinichi Kudo (Conan Edogawa);⭐⭐;16/01/2026
CART90098;Cartoni '90-'00;Quale serie presenta il personaggio "Luffy" con il potere del frutto del diavolo Gomu Gomu?;4 risposte;A) Naruto, B) Bleach, ###C) One Piece, D) Hunter x Hunter;⭐⭐;16/01/2026
CART90099;Cartoni '90-'00;La serie "Cowboy Bebop" è nota per la sua colonna sonora jazz composta da Yoko Kanno.;Vero/Falso;###Vero, Falso;⭐⭐⭐;16/01/2026
CART90100;Cartoni '90-'00;Quale serie ha contribuito alla diffusione degli anime in Occidente negli anni '90?;4 risposte;A) The Simpsons, B) The Powerpuff Girls, ###C) Pokémon, D) Rugrats;⭐⭐;16/01/2026
